,,,Persons Aged 15+ Years,,,Children Aged 10-17 Years,,,
Western,Ntoroko,Karugutu,2806,239,3045,911,358,1269,
Western,Ntoroko,Karugutu Town Council,4615,862,5477,1210,923,2133,
Western,Ntoroko,Kibuuku Town Council,935,259,1194,146,279,425,
Western,Ntoroko,Nombe,3550,234,3784,1402,335,1737,
Western,Ntoroko,Rwebisengo,1210,1253,2463,90,983,1073,
Western,Ntoroko,Rwebisengo Town Council,1071,779,1850,54,586,640,
Western,Ntoroko,Ntoroko Total,26308,8299,34607,5649,7859,13508,
Western,Ntungamo,Central Division,3018,1073,4091,299,968,1267,
Western,Ntungamo,Eastern Division,2764,698,3462,255,783,1038,
Western,Ntungamo,Western Division,2138,681,2819,194,564,758,
Western,Ntungamo,Bwongyera,16503,966,17469,7278,879,8157,
Western,Ntungamo,Ihunga,10313,3547,13860,1869,3890,5759,
Western,Ntungamo,Kibatsi,7534,2513,10047,899,3270,4169,
Western,Ntungamo,Nyabihoko,10444,875,11319,3910,1045,4955,
Western,Ntungamo,Rwashamaire Town Council,2958,1014,3972,493,937,1430,
Western,Ntungamo,Itojo,9168,3141,12309,919,3877,4796,
Western,Ntungamo,Kitwe Town Council,7252,1944,9196,571,3079,3650,
Western,Ntungamo,Ntungamo,13310,3034,16344,3205,3389,6594,
Western,Ntungamo,Nyakyera,15053,3870,18923,2877,5375,8252,
Western,Ntungamo,Ruhaama,18024,3159,21183,3987,4679,8666,
Western,Ntungamo,Rukoni East,10165,1605,11770,2662,2348,5010,
Western,Ntungamo,Rukoni West,5948,2486,8434,385,3236,3621,
Western,Ntungamo,Rweikiniro,15052,3005,18057,2316,5417,7733,
Western,Ntungamo,Kayonza,12978,2011,14989,2927,2648,5575,
Western,Ntungamo,Ngoma,13177,1363,14540,3632,1958,5590,
Western,Ntungamo,Rubaare,10117,3238,13355,1722,3591,5313,
Western,Ntungamo,Rubaare Town Council,5595,1971,7566,674,1719,2393,
Western,Ntungamo,Rugarama,12753,3506,16259,2608,4077,6685,
Western,Ntungamo,Ntungamo Total,204264,45700,249964,43682,57729,101411,
Western,Rubirizi,Katanda,8661,149,8810,4086,87,4173,
Western,Rubirizi,Katerera,5082,103,5185,2199,38,2237,
Western,Rubirizi,Katerera Town Council,4685,85,4770,1791,66,1857,
Western,Rubirizi,Katunguru,2332,88,2420,450,96,546,
Western,Rubirizi,Kichwamba,8285,327,8612,3472,315,3787,
Western,Rubirizi,Kirugu,5598,139,5737,2312,108,2420,
Western,Rubirizi,Kyabakara,5965,218,6183,2370,302,2672,
Western,Rubirizi,Magambo,5579,180,5759,2474,164,2638,
Western,Rubirizi,Rubirizirz Town Council,4237,135,4372,1628,76,1704,
Western,Rubirizi,Rutoto,6194,343,6537,2823,286,3109,
Western,Rubirizi,Ryeru,6199,329,6528,2751,357,3108,
Western,Rubirizi,Rubirizi Total,62817,2096,64913,26356,1895,28251,
Western,Rukungiri,Buyanja,14938,5215,20153,2426,5370,7796,
Western,Rukungiri,Kebisoni,9116,4888,14004,481,5365,5846,
Western,Rukungiri,Nyakishenyi,15513,1689,17202,5150,2192,7342,
Western,Rukungiri,Nyarushanje,17590,6359,23949,3289,6006,9295,
Western,Rukungiri,Bugangari,11617,4014,15631,881,5581,6462,
Western,Rukungiri,Buhunga,8373,3356,11729,1545,3630,5175,
Western,Rukungiri,Bwambara,12196,2474,14670,2091,3591,5682,
Western,Rukungiri,Nyakagyeme,12624,4838,17462,949,6123,7072,
Western,Rukungiri,Ruhinda,7614,5733,13347,803,5007,5810,
Western,Rukungiri,Eastern Divison,5568,1124,6692,1166,1269,2435,
Western,Rukungiri,Southern Division,3653,1620,5273,207,1515,1722,
Western,Rukungiri,Western Division,6126,2058,8184,529,2195,2724,
Western,Rukungiri,Rukungiri Total,124928,43368,168296,19517,47844,67361,
Western,Sheema,Kashozi,484,2389,2873,5791,1955,7746,
Western,Sheema,Bugongi Town Council,228,2288,2516,4774,1656,6430,
Western,Sheema,Kabwohe Itendero T. C.,957,2542,3499,8790,2793,11583,
Western,Sheema,Kagango,2174,2151,4325,9319,1715,11034,
Western,Sheema,Kasaana,796,2971,3767,7136,1920,9056,
Western,Sheema,Kigarama,1280,3305,4585,8870,2715,11585,
Western,Sheema,Rugarama,1668,625,2293,4778,498,5276,
Western,Sheema,Kitagata,1169,2740,3909,7353,2678,10031,
Western,Sheema,Kyangyenyi,2398,4383,6781,13003,3864,16867,
Western,Sheema,Masheruka,558,2852,3410,6838,2345,9183,
Western,Sheema,Shuuku,282,2241,2523,4875,1568,6443,
Western,Sheema,Sheema Town Council,436,2900,3336,7075,2320,9395,
Western,Sheema,Sheema Total,12430,31387,43817,88602,26027,114629,
Northern,Abim,Abim,5482,438,5920,2388,685,3073,
Northern,Abim,Abim Town Council,7665,932,8597,2941,1066,4007,
Northern,Abim,Alerek,7364,683,8047,3279,786,4065,
Northern,Abim,Lotukei,10190,904,11094,4262,1226,5488,
Northern,Abim,Morulem,9670,953,10623,3824,1251,5075,
Northern,Abim,Nyakwae,6394,388,6782,2638,641,3279,
Northern,Abim,Abim Total,46765,4298,51063,19332,5655,24987,
Northern,Adjumani,Adjumani Town Council,13185,6077,19262,3348,4914,8262,
Northern,Adjumani,Adropi,4382,1271,5653,561,2060,2621,
Northern,Adjumani,Arinyapi,5495,389,5884,2098,509,2607,
Northern,Adjumani,Ciforo,6024,1324,7348,1354,1749,3103,
Northern,Adjumani,Dzaipi,9948,8782,18730,2524,6569,9093,
Northern,Adjumani,Itirikwa,5746,2024,7770,2166,1577,3743,
Northern,Adjumani,Ofua,4319,2354,6673,363,2895,3258,
Northern,Adjumani,Ukusijoni,5045,228,5273,2328,233,2561,
Northern,Adjumani,Pacara,3838,4619,8457,638,3513,4151,
Northern,Adjumani,Pakele,11417,10076,21493,3997,7245,11242,
Northern,Adjumani,Adjumani Total,69399,37144,106543,19377,31264,50641,
Northern,Agago,Adilang,8252,1203,9455,2841,1734,4575,
Northern,Agago,Agago Town Council,2691,120,2811,1111,119,1230,
Northern,Agago,Arum,4926,586,5512,1843,877,2720,
Northern,Agago,Kalongo Town Council,4937,704,5641,1532,839,2371,
Northern,Agago,Kotomol,5535,656,6191,2036,905,2941,
Northern,Agago,Lamiyo,3667,392,4059,1266,637,1903,
Northern,Agago,Lapono,9319,859,10178,3363,1402,4765,
Northern,Agago,Lira Palwo,6035,1661,7696,1376,2329,3705,
Northern,Agago,Lokole,6974,252,7226,3104,287,3391,
Northern,Agago,Omiya Pacwa,4865,520,5385,1698,705,2403,
Northern,Agago,Omot,5883,430,6313,2307,665,2972,
Northern,Agago,Paimol,9549,575,10124,3737,857,4594,
Northern,Agago,Parabongo,4868,432,5300,1995,520,2515,
Northern,Agago,Patongo,4413,795,5208,1577,875,2452,
Northern,Agago,Patongo Town Council,4376,1309,5685,1124,1329,2453,
Northern,Agago,Wol,7927,3117,11044,2033,2932,4965,
Northern,Agago,Agago Total,94217,13611,107828,32943,17012,49955,
Northern,Alebtong,Abako,10097,2155,12252,2342,3139,5481,
Northern,Alebtong,Abia,7511,4106,11617,2648,2448,5096,
Northern,Alebtong,Akura,10770,970,11740,4246,1291,5537,
Northern,Alebtong,Alebtong Town Council,2779,621,3400,597,872,1469,
Northern,Alebtong,Aloi,13791,1735,15526,4440,2882,7322,
Northern,Alebtong,Amugu,11799,1766,13565,3902,2470,6372,
Northern,Alebtong,Apala,7902,2182,10084,1033,3492,4525,
Northern,Alebtong,Awei,11536,2710,14246,3058,3894,6952,
Northern,Alebtong,Omoro,12596,8582,21178,3289,6455,9744,
Northern,Alebtong,Alebtong Total,88781,24827,113608,25555,26943,52498,
Northern,Amolatar,Agikdak,4991,416,5407,1949,479,2428,
Northern,Amolatar,Agwingiri,6655,970,7625,2229,1103,3332,
Northern,Amolatar,Akwon,3223,587,3810,889,865,1754,
Northern,Amolatar,Amolatar Town Council,4659,1037,5696,1303,1251,2554,
Northern,Amolatar,Aputi,6494,919,7413,2523,940,3463,
Northern,Amolatar,Arwotcek,6966,1312,8278,2477,1317,3794,
Northern,Amolatar,Awelo,5309,453,5762,2041,632,2673,
Northern,Amolatar,Etam,5651,1492,7143,1270,2197,3467,
Northern,Amolatar,Muntu,5714,737,6451,1966,1086,3052,
Northern,Amolatar,Namasale,9440,1102,10542,2929,1143,4072,
Northern,Amolatar,Namasale Town Council,5254,389,5643,1195,557,1752,
Northern,Amolatar,Amolatar Total,64356,9414,73770,20771,11570,32341,
Northern,Amudat,Amudat,5802,4991,10793,2515,3523,6038,
Northern,Amudat,Amudat Town Council,3942,1909,5851,1205,1404,2609,
Northern,Amudat,Karita,11513,1719,13232,4612,2063,6675,
Northern,Amudat,Loroo,10082,1670,11752,5072,2095,7167,
Northern,Amudat,Amudat Total,31339,10289,41628,13404,9085,22489,
Northern,Amuru,Amuru,17146,2286,19432,6681,2680,9361,
Northern,Amuru,Amuru Town Council,2644,1479,4123,778,1314,2092,
Northern,Amuru,Attiak,12756,4118,16874,3100,4039,7139,
Northern,Amuru,Lamogi,16165,5941,22106,5650,5339,10989,
Northern,Amuru,Pabo,22555,2220,24775,8547,3783,12330,
Northern,Amuru,Amuru Total,71266,16044,87310,24756,17155,41911,
Northern,Apac,Abongomola,13448,3708,17156,1831,6347,8178,
Northern,Apac,Aduku,13928,1360,15288,4988,1860,6848,
Northern,Apac,Aduku Town Council,3651,462,4113,1295,354,1649,
Northern,Apac,Chawente,15619,1262,16881,5967,1664,7631,
Northern,Apac,Inomo,13304,2097,15401,4005,2947,6952,
Northern,Apac,Nambieso,21743,1656,23399,7667,3418,11085,
Northern,Apac,Akokoro,17848,3557,21405,4431,4420,8851,
Northern,Apac,Apac,23222,3622,26844,7117,5392,12509,
Northern,Apac,Apac Town Council,5510,2253,7763,1042,1997,3039,
Northern,Apac,Chegere,12209,6102,18311,2382,5828,8210,
Northern,Apac,Ibuje,18956,1043,19999,7462,1692,9154,
Northern,Apac,Apac Total,159438,27122,186560,48187,35919,84106,
Northern,Arua,Arua Hill Division,4952,4303,9255,440,3467,3907,
Northern,Arua,River Oli Division,12872,9871,22743,1302,8841,10143,
Northern,Arua,Adumi,12390,3039,15429,2873,3614,6487,
Northern,Arua,Aroi,10126,2777,12903,2809,2625,5434,
Northern,Arua,Ayivuni,9714,1876,11590,2521,2484,5005,
Northern,Arua,Dadamu,16412,5221,21633,4074,5649,9723,
Northern,Arua,Manibe,12210,2981,15191,1432,4934,6366,
Northern,Arua,Oluko,15596,4985,20581,4320,4344,8664,
Northern,Arua,Pajulu,23717,7524,31241,5977,7576,13553,
Northern,Arua,Anyiribu,3363,861,4224,313,1433,1746,
Northern,Arua,Ewanga,3484,514,3998,1368,414,1782,
Northern,Arua,Offaka,8043,2004,10047,2112,1935,4047,
Northern,Arua,Ogoko,8327,1969,10296,2323,1507,3830,
Northern,Arua,Okollo,9281,265,9546,3574,197,3771,
Northern,Arua,Pawor,4331,466,4797,1341,553,1894,
Northern,Arua,Rhino Camp,9877,2478,12355,2750,2339,5089,
Northern,Arua,Rigbo,11548,1614,13162,3820,1681,5501,
Northern,Arua,Uleppi,3841,762,4603,1184,681,1865,
Northern,Arua,Aii-Vu,16303,4382,20685,3432,5257,8689,
Northern,Arua,Bileafe,8246,2692,10938,1828,2795,4623,
Northern,Arua,Katrini,13833,2306,16139,4078,3039,7117,
Northern,Arua,Omugo,17699,4451,22150,5201,3952,9153,
Northern,Arua,Odupi,15040,4766,19806,3849,4258,8107,
Northern,Arua,Uriama,11765,324,12089,4654,293,4947,
Northern,Arua,Ajia,11297,3037,14334,2187,3642,5829,
Northern,Arua,Arivu,11183,871,12054,3981,1059,5040,
Northern,Arua,Logiri,16676,1646,18322,5561,2313,7874,
Northern,Arua,Vurra,18582,4648,23230,5239,4637,9876,
Northern,Arua,Arua Total,320708,82633,403341,84543,85519,170062,
Northern,Dokolo,Adeknino,7601,207,7808,3726,141,3867,
Northern,Dokolo,Adok,8566,389,8955,3861,362,4223,
Northern,Dokolo,Agwata,9627,926,10553,3696,1322,5018,
Northern,Dokolo,Amwoma,6942,431,7373,3001,422,3423,
Northern,Dokolo,Batta,9070,311,9381,4184,277,4461,
Northern,Dokolo,Dokolo,7370,454,7824,3086,558,3644,
Northern,Dokolo,Dokolo Town Council,9089,1392,10481,3173,1454,4627,
Northern,Dokolo,Kangai,7820,553,8373,3648,468,4116,
Northern,Dokolo,Kwera,6398,248,6646,2922,235,3157,
Northern,Dokolo,Okwalongwen,6426,902,7328,2687,611,3298,
Northern,Dokolo,Okwongodul,6505,211,6716,2998,272,3270,
Northern,Dokolo,Dokolo Total,85414,6024,91438,36982,6122,43104,
Northern,Gulu,Bar Dege Division,1414,6437,11619,18056,8588,35456,44044
Northern,Gulu,Laroo Division,579,4592,8823,13415,6942,25909,32851
Northern,Gulu,Layibi Division,1531,5964,13710,19674,7185,35664,42849
Northern,Gulu,Pece Division,1091,8370,15595,23965,10687,44373,55060
Northern,Gulu,Awach,3546,937,8015,8952,1009,18874,19883
Northern,Gulu,Bungatira,3701,3924,13333,17257,3544,32824,36368
Northern,Gulu,Paicho,3615,2001,10174,12175,1466,24440,25906
Northern,Gulu,Palaro,2507,530,5865,6395,382,13109,13491
Northern,Gulu,Patiko,2629,1733,7296,9029,1374,18352,19726
Northern,Gulu,Unyama,1888,2013,6619,8632,2022,16993,19015
Northern,Gulu,Bobi,3938,2616,12153,14769,2410,28912,31322
Northern,Gulu,Koro,3956,2379,11970,14349,2072,27365,29437
Northern,Gulu,Lakwana,1119,3268,7193,10461,2089,18761,20850
Northern,Gulu,Lalogi,4305,2551,12501,15052,2145,29628,31773
Northern,Gulu,Odek,4130,3121,13536,16657,1903,31322,33225
Northern,Gulu,Ongako,3891,1261,10594,11855,1311,23112,24423
Northern,Gulu,Gulu Total,43840,51697,168996,220693,55129,425094,480223
Northern,Kaabong,Kaabong East,2972,2010,4982,795,1463,2258,
Northern,Kaabong,Kaabong Town Council,3911,2522,6433,933,1632,2565,
Northern,Kaabong,Kaabong West,5602,1441,7043,1927,744,2671,
Northern,Kaabong,Kalapata,7868,4119,11987,3243,2451,5694,
Northern,Kaabong,Kamion,2844,365,3209,992,265,1257,
Northern,Kaabong,Kapedo,6236,1245,7481,2262,709,2971,
Northern,Kaabong,Kathile,8855,1682,10537,3170,1131,4301,
Northern,Kaabong,Kawalakol,5927,696,6623,1993,958,2951,
Northern,Kaabong,Lobalangit,3394,356,3750,1082,436,1518,
Northern,Kaabong,Lodiko,1253,1968,3221,458,974,1432,
Northern,Kaabong,Lolelia,3542,295,3837,1325,173,1498,
Northern,Kaabong,Loyoro,311,1528,1839,72,749,821,
Northern,Kaabong,Napore Karenga,5346,1910,7256,1784,1373,3157,
Northern,Kaabong,Sidok,5672,1365,7037,1612,941,2553,
Northern,Kaabong,Kaabong Total,63733,21502,85235,21648,13999,35647,
Northern,Kitgum,Central Division,11487,2563,14050,3740,1934,5674,
Northern,Kitgum,Pager Division,12753,5651,18404,3151,4232,7383,
Northern,Kitgum,Labongo Akwang,13002,5697,18699,3096,4528,7624,
Northern,Kitgum,Labongo Amida,2572,1623,4195,949,911,1860,
Northern,Kitgum,Labongo Layamo,1279,98,1377,511,107,618,
Northern,Kitgum,Lagoro,4957,683,5640,1858,725,2583,
Northern,Kitgum,Mucwini,7403,3195,10598,1920,2699,4619,
Northern,Kitgum,Namokora,4023,2977,7000,616,2578,3194,
Northern,Kitgum,Omiya Anyima,7965,2216,10181,2651,2146,4797,
Northern,Kitgum,Orom,12067,1137,13204,5069,995,6064,
Northern,Kitgum,Kitgum Total,77508,25840,103348,23561,20855,44416,
Northern,Koboko,Northern Divison,4662,4787,9449,969,4022,4991,
Northern,Koboko,Southern Division,1046,335,1381,104,496,600,
Northern,Koboko,Western Division,9740,5036,14776,1862,4897,6759,
Northern,Koboko,Abuku,4196,2709,6905,1065,2066,3131,
Northern,Koboko,Dranya,5676,706,6382,1910,862,2772,
Northern,Koboko,Kuluba,17811,2543,20354,5209,2771,7980,
Northern,Koboko,Lobule,14662,1119,15781,6003,1297,7300,
Northern,Koboko,Ludara,12861,2445,15306,3298,3222,6520,
Northern,Koboko,Midia,7451,3049,10500,1550,3067,4617,
Northern,Koboko,Koboko Total,78105,22729,100834,21970,22700,44670,
Northern,Kole,Aboke,22168,1750,23918,7971,2488,10459,
Northern,Kole,Akalo,12752,2072,14824,3655,3096,6751,
Northern,Kole,Alito,15588,3584,19172,1430,7289,8719,
Northern,Kole,Ayer,16119,2116,18235,4949,3461,8410,
Northern,Kole,Bala,21281,1699,22980,7680,2801,10481,
Northern,Kole,Kole Town Council,4335,311,4646,1564,380,1944,
Northern,Kole,Okwerodot,15930,806,16736,5886,1595,7481,
Northern,Kole,Kole Total,108173,12338,120511,33135,21110,54245,
Northern,Kotido,Kacheri,4019,10462,14481,1323,5099,6422,
Northern,Kotido,Kotido,6242,9299,15541,1934,5082,7016,
Northern,Kotido,Kotido Town Council,3885,3210,7095,759,2085,2844,
Northern,Kotido,Nakapelimoru,4433,5855,10288,1030,2944,3974,
Northern,Kotido,Panyangara,11959,7094,19053,4255,3951,8206,
Northern,Kotido,Rengen,10543,6005,16548,4279,3617,7896,
Northern,Kotido,Kotido Total,41081,41925,83006,13580,22778,36358,
Northern,Lamwo,Agoro,6885,1658,8543,2084,1709,3793,
Northern,Lamwo,Lamwo Town Council,2762,1165,3927,797,1014,1811,
Northern,Lamwo,Palabek Gem,5872,1551,7423,1672,1605,3277,
Northern,Lamwo,Madi  Opei,4817,999,5816,1800,805,2605,
Northern,Lamwo,Padibe West,4675,1339,6014,1325,1446,2771,
Northern,Lamwo,Lokung,7176,758,7934,2642,904,3546,
Northern,Lamwo,Padibe East,4024,463,4487,1381,661,2042,
Northern,Lamwo,Palabek Kal,5816,1452,7268,1148,2111,3259,
Northern,Lamwo,Palabek Ogili,3628,1102,4730,409,1568,1977,
Northern,Lamwo,Paloga,3713,693,4406,1419,639,2058,
Northern,Lamwo,Padibe Town Council,4417,496,4913,1782,517,2299,
Northern,Lamwo,Lamwo Total,53785,11676,65461,16459,12979,29438,
Northern,Lira,Adyel Division,11232,7091,18323,1309,5197,6506,
Northern,Lira,Central Division,10704,3108,13812,1950,2420,4370,
Northern,Lira,Ojwina Division,17080,5328,22408,3611,3741,7352,
Northern,Lira,Railway Division,2537,925,3462,258,859,1117,
Northern,Lira,Adekokwok,18887,2531,21418,6608,2226,8834,
Northern,Lira,Agali,11556,1075,12631,4373,1250,5623,
Northern,Lira,Agweng,13050,1143,14193,4776,1610,6386,
Northern,Lira,Amach,15481,1972,17453,5131,2807,7938,
Northern,Lira,Aromo,9163,6585,15748,2032,5136,7168,
Northern,Lira,Barr,20329,2385,22714,6716,3485,10201,
Northern,Lira,Lira,14913,3736,18649,3738,4288,8026,
Northern,Lira,Ngetta,11953,4823,16776,3651,3662,7313,
Northern,Lira,Ogur,10044,7834,17878,2652,5335,7987,
Northern,Lira,Lira Total,166929,48536,215465,46805,42016,88821,
Northern,Maracha,Kijomoro,11548,3398,14946,1395,5506,6901,
Northern,Maracha,Maracha Town Council,3862,754,4616,924,1049,1973,
Northern,Maracha,Nyadri,7610,1922,9532,1009,3260,4269,
Northern,Maracha,Oleba,11973,3825,15798,1502,5247,6749,
Northern,Maracha,Oluffe,10900,819,11719,4063,898,4961,
Northern,Maracha,Oluvu,11534,3246,14780,2862,3643,6505,
Northern,Maracha,Tara,7962,319,8281,3099,475,3574,
Northern,Maracha,Yivu,11584,1013,12597,4681,688,5369,
Northern,Maracha,Maracha Total,76973,15296,92269,19535,20766,40301,
Northern,Moyo ,Aliba,6833,654,7487,2676,1242,3918,
Northern,Moyo ,Gimara,5930,602,6532,2153,667,2820,
Northern,Moyo ,Itula,5886,981,6867,1795,1107,2902,
Northern,Moyo ,Difule,5260,191,5451,2461,181,2642,
Northern,Moyo ,Laropi,4368,617,4985,1443,679,2122,
Northern,Moyo ,Lefori,5952,228,6180,2560,261,2821,
Northern,Moyo ,Metu,13034,2454,15488,3543,3035,6578,
Northern,Moyo ,Moyo,11046,1853,12899,3219,2012,5231,
Northern,Moyo ,Moyo Town Council,4205,1600,5805,903,1465,2368,
Northern,Moyo ,Moyo Total,62514,9180,71694,20753,10649,31402,
Northern,Nakapiripirit,Loregae,10044,418,10462,4492,117,4609,
Northern,Nakapiripirit,Moruita,7383,776,8159,2779,511,3290,
Northern,Nakapiripirit,Nakapiripirit Town Council,1718,297,2015,414,273,687,
Northern,Nakapiripirit,Namalu,11795,1876,13671,4209,1101,5310,
Northern,Nakapiripirit,Kakomongole,6603,1395,7998,2833,674,3507,
Northern,Nakapiripirit,Lolachat,11697,2614,14311,5264,2113,7377,
Northern,Nakapiripirit,Lorengedwat,2560,614,3174,954,381,1335,
Northern,Nakapiripirit,Nabilatuk,6896,4803,11699,3076,2997,6073,
Northern,Nakapiripirit,Nakapiripirit Total,58696,12793,71489,24021,8167,32188,
Northern,Napak,Iriiri,14412,5794,20206,4476,4797,9273,
Northern,Napak,Lorengecora,3972,754,4726,1484,515,1999,
Northern,Napak,Lotome,4098,1521,5619,1537,769,2306,
Northern,Napak,Matany,6639,5002,11641,1230,3036,4266,
Northern,Napak,Napak Town Council,2096,184,2280,784,134,918,
Northern,Napak,Ngoleriet,3051,5405,8456,787,2801,3588,
Northern,Napak,Lokopo,5340,4995,10335,1680,2384,4064,
Northern,Napak,Lopeei,1421,4957,6378,708,2062,2770,
Northern,Napak,Napak Total,41029,28612,69641,12686,16498,29184,
Northern,Nebbi,Alwi,8393,775,9168,2543,1303,3846,
Northern,Nebbi,Pakwach,9729,666,10395,3563,773,4336,
Northern,Nebbi,Pakwach Town Council,8955,3177,12132,2162,2979,5141,
Northern,Nebbi,Panyango,12736,1113,13849,4512,1490,6002,
Northern,Nebbi,Panyimur,18164,3221,21385,3174,5289,8463,
Northern,Nebbi,Wadelai,10427,1200,11627,3144,1762,4906,
Northern,Nebbi,Akworo,11079,1371,12450,2925,2691,5616,
Northern,Nebbi,Atego,4638,256,4894,1711,465,2176,
Northern,Nebbi,Erussi,13339,3567,16906,2036,6155,8191,
Northern,Nebbi,Kucwiny,14381,1515,15896,4344,2417,6761,
Northern,Nebbi,Ndhew,9866,321,10187,4436,272,4708,
Northern,Nebbi,Nebbi,10585,1928,12513,2204,3209,5413,
Northern,Nebbi,Nebbi Town Council,14757,4008,18765,3377,4390,7767,
Northern,Nebbi,Nyaravur,7550,2711,10261,1583,2804,4387,
Northern,Nebbi,Parombo,14137,3472,17609,3000,4974,7974,
Northern,Nebbi,Nebbi Total,168736,29301,198037,44714,40973,85687,
Northern,Nwoya,Alero,16806,2908,19714,3316,5777,9093,
Northern,Nwoya,Anaka Payira,4413,892,5305,471,1976,2447,
Northern,Nwoya,Koch-Goma,14559,2586,17145,1994,5751,7745,
Northern,Nwoya,Anaka Town Council,5362,1303,6665,416,2521,2937,
Northern,Nwoya,Purongo,12726,2684,15410,1271,5191,6462,
Northern,Nwoya,Nwoya Total,53866,10373,64239,7468,21216,28684,
Northern,Otuke,Adwari,5041,100,5141,2241,80,2321,
Northern,Otuke,Alango,5982,219,6201,2644,126,2770,
Northern,Otuke,Ogor,6854,477,7331,2790,527,3317,
Northern,Otuke,Ogwette,7147,264,7411,2787,413,3200,
Northern,Otuke,Okwang,10029,711,10740,3739,1074,4813,
Northern,Otuke,Olilim,5978,872,6850,1940,1119,3059,
Northern,Otuke,Orum,4816,250,5066,1863,376,2239,
Northern,Otuke,Otuke Town Council,3185,81,3266,1218,44,1262,
Northern,Otuke,Otuke Total,49032,2974,52006,19222,3759,22981,
Northern,Oyam,Aber,13689,2895,16584,3316,4495,7811,
Northern,Oyam,Abok,8134,532,8666,2978,939,3917,
Northern,Oyam,Acaba,12275,1922,14197,3196,3244,6440,
Northern,Oyam,Aleka,11418,3123,14541,2827,3772,6599,
Northern,Oyam,Iceme,20921,2463,23384,7221,3213,10434,
Northern,Oyam,Kamdini,16258,4071,20329,3299,5595,8894,
Northern,Oyam,Loro,23953,4074,28027,6976,5465,12441,
Northern,Oyam,Minakulu,15434,3139,18573,4003,4656,8659,
Northern,Oyam,Myene,10365,3094,13459,2347,3883,6230,
Northern,Oyam,Ngai,12149,2345,14494,3384,3133,6517,
Northern,Oyam,Otwal,10621,2445,13066,2448,3346,5794,
Northern,Oyam,Oyam Town Council,5035,985,6020,1333,1227,2560,
Northern,Oyam,Oyam Total,160252,31088,191340,43328,42968,86296,
Northern,Pader,Acholibur,5684,1245,6929,1784,1444,3228,
Northern,Pader,Angagura,4261,245,4506,1852,247,2099,
Northern,Pader,Atanga,6578,1104,7682,2619,887,3506,
Northern,Pader,Awere,8900,569,9469,4043,542,4585,
Northern,Pader,Laguti,5742,796,6538,2030,1056,3086,
Northern,Pader,Lapul,7937,1101,9038,2907,1155,4062,
Northern,Pader,Latanya,6292,979,7271,2238,1302,3540,
Northern,Pader,Ogom,3392,771,4163,1044,804,1848,
Northern,Pader,Pader,3155,1632,4787,567,1443,2010,
Northern,Pader,Pader Town Council,4176,2419,6595,630,2180,2810,
Northern,Pader,Pajule,9263,1893,11156,3787,1671,5458,
Northern,Pader,Puranga,7836,1300,9136,2460,1892,4352,
Northern,Pader,Pader Total,73216,14054,87270,25961,14623,40584,
Northern,Yumbe,Apo,14841,1218,16059,8346,1927,10273,
Northern,Yumbe,Ariwa,9033,1551,10584,2877,2925,5802,
Northern,Yumbe,Drajini,13390,407,13797,7232,235,7467,
Northern,Yumbe,Kei,15689,2905,18594,7077,3881,10958,
Northern,Yumbe,Kerwa,12653,2349,15002,5423,2757,8180,
