,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Northern,Yumbe,Ariwa,1196,13931,1808,20591,414,13200,
Northern,Yumbe,Drajini,2341,17379,4003,25129,1299,16329,
Northern,Yumbe,Kei,3435,26591,3570,38814,1140,25703,
Northern,Yumbe,Kerwa,1410,18442,2630,27749,764,17163,
Northern,Yumbe,Kochi,2907,23646,2907,35819,1047,22967,
Northern,Yumbe,Kululu,3271,19908,2561,31037,858,20106,
Northern,Yumbe,Kuru,2791,22969,2415,35315,1077,22352,
Northern,Yumbe,Lodonga,2735,17371,1510,28161,467,17851,
Northern,Yumbe,Midigo,3601,21674,1606,33067,578,22796,
Northern,Yumbe,Odravu,2431,23424,2464,36885,609,22539,
Northern,Yumbe,Romogi,4554,25125,2842,38849,1125,26617,
Northern,Yumbe,Yumbe Town Council,2327,19701,1840,30403,778,19159,
Northern,Yumbe,Yumbe Total,36452,273751,32909,416932,10950,270687,
Northern,Zombo,Abanga,834,9505,2668,13660,645,8424,
Northern,Zombo,Atyak,997,11963,3391,16957,763,10476,
Northern,Zombo,Jangokoro,1317,17107,4821,23993,1067,15049,
Northern,Zombo,Kango,1589,18780,4775,27380,892,16855,
Northern,Zombo,Nyapea,1021,11033,3720,15682,869,9541,
Northern,Zombo,Paidha,774,7955,2896,11292,788,6881,
Northern,Zombo,Paidha T.C*,1992,15332,4727,24357,1406,13868,
Northern,Zombo,Warr,893,9859,3800,13581,904,8523,
Northern,Zombo,Zeu,1788,18895,6010,26677,1615,16553,
Northern,Zombo,Zombo T.C,620,6399,1654,9493,465,5649,
Northern,Zombo,Zombo Total,11825,126828,38462,183072,9414,111819,
Central,Buikwe,Central Division,1557,15846,1914,31963,367,14935,
Central,Buikwe,Kawolo Division,1815,19727,3944,33418,664,18486,
Central,Buikwe,Najjembe Division,1369,15977,4409,25905,809,14678,
Central,Buikwe,Buikwe,866,9638,2618,14234,495,8898,
Central,Buikwe,Buikwe Town Council,823,8456,1420,13913,277,7983,
Central,Buikwe,Najja,2122,22967,4647,35954,977,21015,
Central,Buikwe,Ngogwe,1815,18235,4153,28473,731,17191,
Central,Buikwe,Njeru Town Council,2958,30839,5654,56741,1299,28327,
Central,Buikwe,Nkokonjeru Town Council,443,4058,1044,6767,255,3704,
Central,Buikwe,Nyenga,2042,26159,6483,39212,1155,23676,
Central,Buikwe,Ssi-Bukunja,1225,12595,3984,19619,761,11251,
Central,Buikwe,Wakisi,1660,20679,4509,33570,886,18940,
Central,Buikwe,Buikwe Total,18695,205176,44779,339769,8676,189084,
Central,Bukomansimbi,Bigasa,2064,22575,4640,34305,818,20940,
Central,Bukomansimbi,Bukomansimbi  Town Council,491,4711,1036,7862,200,4390,
Central,Bukomansimbi,Butenga,2035,19972,3817,32196,516,19279,
Central,Bukomansimbi,Kibinge,1839,16592,3214,27462,583,15936,
Central,Bukomansimbi,Kitanda,1302,15243,3801,22684,845,13917,
Central,Bukomansimbi,Bukomansimbi Total,7731,79093,16508,124509,2962,74462,
Central,Butambala,Budde,650,7134,889,11830,178,6732,
Central,Butambala,Bulo,995,10106,1177,16245,203,9767,
Central,Butambala,Gombe Town Council,739,8227,877,13545,148,7838,
Central,Butambala,Kalamba,913,10448,641,17634,115,10181,
Central,Butambala,Kibibi,626,7588,1030,12134,205,7091,
Central,Butambala,Ngando,852,10513,1154,16237,187,10011,
Central,Butambala,Butambala Total,4775,54016,5768,87625,1036,51620,
Central,Buvuma,Bugaya,164,1849,2516,1837,816,827,
Central,Buvuma,Busamuzi,589,8286,2688,12123,565,6909,
Central,Buvuma,Buvuma Town Council,291,4757,1385,7480,300,3876,
Central,Buvuma,Buwooya,414,6565,2086,8622,621,5303,
Central,Buvuma,Bweema,228,3534,1301,6617,175,2816,
Central,Buvuma,Lubya,218,2404,1072,4647,202,1936,
Central,Buvuma,Lwajje,107,1364,586,3191,64,1067,
Central,Buvuma,Lyabaana,70,1351,2271,3011,276,740,
Central,Buvuma,Nairambi,506,9356,2631,14870,560,7703,
Central,Buvuma,Buvuma Total,2587,39466,16536,62398,3579,31177,
Central,Gomba,Kabulasoke,2531,26137,5564,40580,1003,24309,
Central,Gomba,Kanoni Town Council,599,6143,1312,10009,265,5677,
Central,Gomba,Kyegonza,1580,15996,3691,24398,677,14844,
Central,Gomba,Maddu,1649,17387,4450,28035,780,15747,
Central,Gomba,Mpenja,1767,16309,3569,26247,520,15466,
Central,Gomba,Gomba Total,8126,81972,18586,129269,3245,76043,
Central,Kalangala,Bujumba,319,3483,1333,8837,142,2818,
Central,Kalangala,Kalangala Town Council,222,1675,655,3589,119,1453,
Central,Kalangala,Mugoye,548,4613,1314,9389,228,4011,
Central,Kalangala,Bubeke,97,1230,716,3479,104,888,
Central,Kalangala,Bufumira,229,3110,1494,7037,175,2361,
Central,Kalangala,Kyamuswa,103,1397,979,3055,135,1009,
Central,Kalangala,Mazinga,88,1005,769,3632,63,713,
Central,Kalangala,Kalangala Total,1606,16513,7260,39018,966,13253,
Central,Kalungu,Bukulula,2305,22501,5975,34326,1180,21040,
Central,Kalungu,Kalungu,2002,19133,5301,29907,684,18354,
Central,Kalungu,Kalungu Town Council,454,3883,1262,6184,198,3677,
Central,Kalungu,Kyamulibwa,1677,17720,3145,27440,494,16859,
Central,Kalungu,Lukaya Town Council,1164,11318,1985,19595,402,10449,
Central,Kalungu,Lwabenge,1737,18285,3972,27674,734,16938,
Central,Kalungu,Kalungu Total,9339,92840,21640,145126,3692,87317,
Central,Kampala,Central Division,2649,24349,5452,66234,818,22701,
Central,Kampala,Kawempe Division,10443,129238,19776,289145,3399,115637,
Central,Kampala,Lubaga Division,12569,,21148,329689,3822,131625,
Central,Kampala,Makindye Division,12466,147197,21195,341633,3730,133230,
Central,Kampala,Nakawa Division,9603,111158,19941,266555,3346,100417,
Central,Kampala,Kampala Total,47730,559852,87512,1293256,15115,503610,
Central,Kayunga,Bbaale,553,8762,1931,13779,409,7649,
Central,Kayunga,Galiraya,927,12612,3890,18188,919,10698,
Central,Kayunga,Kayonza,2363,33449,5630,49470,1269,30391,
Central,Kayunga,Kitimbwa,1854,25481,3124,38976,659,23578,
Central,Kayunga,Busaana,2388,31718,6318,46075,1243,29244,
Central,Kayunga,Kangulumira,2539,28270,6447,43172,1357,25955,
Central,Kayunga,Kayunga,1989,22222,4468,34271,936,20789,
Central,Kayunga,Kayunga Town Council,1217,12713,2422,22258,466,11781,
Central,Kayunga,Nazigo,1778,22837,4084,35330,723,21445,
Central,Kayunga,Kayunga Total,15608,198064,38314,301519,7981,181530,
Central,Kiboga,Bukomero,833,7398,1921,12042,376,6858,
Central,Kiboga,Bukomero Town Council,638,6299,1744,9990,385,5627,
Central,Kiboga,Ddwaniro,498,5489,1395,9425,226,5092,
Central,Kiboga,Kapeke,785,7357,2384,11350,448,6642,
Central,Kiboga,Kibiga,1231,12797,3221,20294,537,11597,
Central,Kiboga,Kiboga Town Council,785,8603,2071,15003,415,7569,
Central,Kiboga,Lwamata,1602,13923,4009,22122,824,12700,
Central,Kiboga,Muwanga,905,9205,2918,13840,512,8359,
Central,Kiboga,Kiboga Total,7277,71071,19663,114066,3723,64444,
Central,Kyankwanzi,Bananywa,934,16621,3735,24668,841,13971,
Central,Kyankwanzi,Butemba,1335,17896,5088,27069,1162,15318,
Central,Kyankwanzi,Butemba Town Council,575,7022,1247,11725,241,6279,
Central,Kyankwanzi,Gayaza,783,10161,2092,16658,442,8830,
Central,Kyankwanzi,Kyankwanzi,610,5633,1356,10447,178,5315,
Central,Kyankwanzi,Mulagi,682,6425,2504,9368,592,5703,
Central,Kyankwanzi,Nkandwa,603,6662,1084,10946,208,6189,
Central,Kyankwanzi,Nsambya,903,12818,4432,19242,987,10777,
Central,Kyankwanzi,Ntwetwe,679,8612,1327,14717,255,7593,
Central,Kyankwanzi,Ntwetwe  Town Council,434,4846,1017,8225,206,4336,
Central,Kyankwanzi,Wattuba,997,10395,3124,16325,661,9257,
Central,Kyankwanzi,Kyankwanzi Total,8535,107091,27006,169390,5773,93568,
Central,Luwero,Bamunanika,1402,14965,4475,22263,1244,13350,
Central,Luwero,Kalagala,1885,21602,4326,35999,761,20148,
Central,Luwero,Kamira,1118,13703,3723,20815,933,12143,
Central,Luwero,Kikyusa,1556,18064,3556,28560,776,16343,
Central,Luwero,Zirobwe,1914,23568,3372,38356,611,21905,
Central,Luwero,Bombo Town Council,1242,12086,2764,20723,632,10956,
Central,Luwero,Butuntumula,1745,18679,4445,27923,847,17206,
Central,Luwero,Katikamu,2017,22142,4643,35425,876,20665,
Central,Luwero,Luweero Town Council,1519,20618,2197,36436,450,18465,
Central,Luwero,Luwero,1644,17635,3710,27401,583,16606,
Central,Luwero,Makulubita,1612,16117,4734,25939,953,14781,
Central,Luwero,Nyimbwa,1709,16918,3981,27862,764,15733,
Central,Luwero,Wobulenzi Town Council,1020,12790,1826,22716,344,11652,
Central,Luwero,Luwero Total,20383,228887,47752,370418,9774,209953,
Central,Lwengo,Kisekka,2555,25004,4540,40642,955,23503,
Central,Lwengo,Kkingo,1901,17052,4561,27537,639,16459,
Central,Lwengo,Kyazanga,1750,18732,2878,29084,689,17331,
Central,Lwengo,Kyazanga Town Council,603,7785,1495,12382,261,6928,
Central,Lwengo,Lwengo,2639,26823,6088,39829,1305,24488,
Central,Lwengo,Lwengo Town Council,701,7505,1206,11828,253,6941,
Central,Lwengo,Malongo,2097,20240,4562,31094,1025,18563,
Central,Lwengo,Ndagwe,1853,21318,4389,31209,816,19631,
Central,Lwengo,Lwengo Total,14099,144459,29719,223605,5943,133844,
Central,Lyantonde,Kaliiro,926,9559,1898,15068,354,8839,
Central,Lyantonde,Kasagama,442,5348,1196,9079,232,4800,
Central,Lyantonde,Kinuuka,391,4363,854,7258,145,4015,
Central,Lyantonde,Lyantonde,982,9390,1947,14759,332,8800,
Central,Lyantonde,Lyantonde Town Council,451,5637,1051,10950,278,4733,
Central,Lyantonde,Mpumudde,1080,11764,3052,19017,671,10493,
Central,Lyantonde,Lyantonde Total,4272,46061,9998,76131,2012,41680,
Central,Masaka,Bukakata,899,7357,2309,13422,507,6501,
Central,Masaka,Buwunga,1947,21558,3652,35695,557,20424,
Central,Masaka,Kabonera,1791,16556,3433,26804,623,15635,
Central,Masaka,Kyanamukaaka,1690,15661,3930,25290,662,14768,
Central,Masaka,Kyesiiga,1312,12204,2592,20336,470,11464,
Central,Masaka,Mukungwe,2277,21488,4716,35707,745,20284,
Central,Masaka,Katwe-Butego Division,913,10645,1996,20657,380,9546,
Central,Masaka,Kimaanya-Kyabakuza Division,1224,14094,1619,27525,348,12636,
Central,Masaka,Nyendo-Ssenyange Division,1586,18111,2017,35505,409,16185,
Central,Masaka,Masaka Total,13639,137674,26264,240941,4701,127443,
Central,Mityana,Busimbi Division,744,7476,1656,12376,211,7080,
Central,Mityana,Central Division,2278,25296,4167,46553,808,22968,
Central,Mityana,Ttamu Division,1229,11410,2420,19099,345,10898,
Central,Mityana,Bbanda,779,6968,1684,10884,250,6598,
Central,Mityana,Butayunja,622,5333,1981,8191,358,4933,
Central,Mityana,Kakindu,1098,9006,2756,14291,438,8574,
Central,Mityana,Maanyi,1119,10472,3734,15986,726,9498,
Central,Mityana,Malangala,1236,11940,3005,18963,469,11141,
Central,Mityana,Bulera,1665,14416,3973,24267,567,13798,
Central,Mityana,Kalangaalo,1669,15269,3047,24947,506,14319,
Central,Mityana,Kikandwa,1467,14682,2885,24523,378,13752,
Central,Mityana,Namungo,903,8489,2339,13513,414,7881,
Central,Mityana,Ssekanyonyi,1706,18462,3700,30912,681,17013,
Central,Mityana,Mityana Total,16515,159219,37347,264505,6151,148453,
Central,Mpigi,Buwama,2479,25261,4678,41931,768,23620,
Central,Mpigi,Kammengo,1855,19286,3835,31583,647,18032,
Central,Mpigi,Kiringente,834,9788,1497,17735,322,8825,
Central,Mpigi,Kituntu,1162,11641,1947,18700,331,11090,
Central,Mpigi,Mpigi Town Council,2029,20844,4099,35564,607,19697,
Central,Mpigi,Muduuma,1278,14435,2494,25501,347,13368,
Central,Mpigi,Nkozi,2048,21076,3591,34477,784,19443,
Central,Mpigi,Mpigi Total,11685,122331,22141,205491,3806,114075,
Central,Mubende,Butoloogo,1505,23402,38258,2103,20792,392,
Central,Mubende,Kitenga,2621,30013,47601,6594,26309,1739,
Central,Mubende,Kiyuni,1115,12665,19353,3458,11069,712,
Central,Mubende,Madudu,1440,18829,29559,3990,16588,727,
Central,Mubende,Bagezza,463,6276,9273,1414,5486,262,
Central,Mubende,Kasambya,1561,19054,30401,3449,16940,690,
Central,Mubende,Kibalinga,1579,18838,30266,2891,16857,545,
Central,Mubende,Kigando,1879,20815,32368,4925,18556,944,
Central,Mubende,Nabingoola,1744,18913,27687,5572,16393,1410,
Central,Mubende,Bukuya,1427,15983,26168,2505,14766,465,
Central,Mubende,Kalwana,1474,17515,26454,4127,15795,770,
Central,Mubende,Kassanda,2203,22579,34771,5698,20537,1090,
Central,Mubende,Kiganda,1966,19564,29427,5825,17607,1111,
Central,Mubende,Kitumbi,1840,26539,41898,4965,23467,1088,
Central,Mubende,Makokoto,406,4255,6017,1368,3765,317,
Central,Mubende,Manyogaseka,489,5461,7979,2164,4658,491,
Central,Mubende,Myanzi,981,11002,17534,2413,10204,352,
Central,Mubende,Nalutuntu,1408,12644,20788,2492,12149,328,
Central,Mubende,Eastern Division,1134,11266,20799,2197,10246,437,
Central,Mubende,Western Division,1135,12274,20955,3256,11056,639,
Central,Mubende,Southern Division,1465,14945,25767,2726,13485,570,
Central,Mubende,Mubende Total,29835,342832,543323,74132,306725,15079,
Central,Mukono,Central Division,2298,28954,3523,57391,736,26151,
Central,Mukono,Goma Division,3302,39722,5573,78296,1159,36375,
Central,Mukono,Koome Island,531,6326,2538,14036,411,5053,
Central,Mukono,Kyampisi,2024,21598,4116,36778,852,20008,
Central,Mukono,Mpatta,843,8025,1766,13865,304,7615,
Central,Mukono,Mpunge,639,6761,1536,11419,284,6269,
Central,Mukono,Nakisunga,2352,22846,5072,40013,800,21818,
Central,Mukono,Nama,2224,24690,5427,44683,984,22588,
Central,Mukono,Ntenjeru,2048,20383,4732,33283,936,18860,
Central,Mukono,Kasawo,1533,18020,5922,27420,1795,15624,
Central,Mukono,Kimenyedde,1396,18618,3847,29400,615,17329,
Central,Mukono,Nabbaale,1714,18207,3537,30086,617,17239,
Central,Mukono,Nagojje,1566,16305,4432,27141,762,15080,
Central,Mukono,Ntunda,1080,7504,2018,12171,597,7131,
Central,Mukono,Seeta Namuganga,1748,19127,3472,30881,642,18108,
Central,Mukono,Mukono Total,25298,277086,57511,486863,11494,255248,
Central,Nakaseke,Butalangu Town Council,135,1692,484,2645,93,1525,
Central,Nakaseke,Kapeeka,1133,11599,1996,20217,401,10725,
Central,Nakaseke,Kasangombe,1159,10953,2139,17881,350,10372,
Central,Nakaseke,Kikamulo,956,9692,2149,14970,381,9061,
Central,Nakaseke,Kinoni,246,2678,348,4972,60,2466,
Central,Nakaseke,Kinyogoga,299,4050,693,7563,90,3657,
Central,Nakaseke,Kito,422,4865,1068,7748,143,4473,
Central,Nakaseke,Kiwoko Town Council,637,5274,942,9015,183,5015,
Central,Nakaseke,Nakaseke,825,9122,1621,14778,233,8523,
Central,Nakaseke,Nakaseke Town Council,315,3160,597,5598,126,2922,
Central,Nakaseke,Ngoma,245,3173,659,5580,81,2865,
Central,Nakaseke,Ngoma Town Council,232,2454,608,4768,85,2190,
Central,Nakaseke,Semuto,1144,11599,2700,18832,409,10907,
Central,Nakaseke,Semuto Town Council,373,5172,716,9130,164,4706,
Central,Nakaseke,Wakyato,410,5605,1000,9426,142,5191,
Central,Nakaseke,Nakaseke Total,8531,91088,17720,153123,2941,84598,
Central,Nakasongola,Kakooge,947,10168,3152,15286,740,9011,
Central,Nakasongola,Kakooge Town Council,493,4168,1048,7040,204,3922,
Central,Nakasongola,Kalongo,691,10990,2546,15255,702,9536,
Central,Nakasongola,Kalungi,1108,13056,3740,17893,1157,11228,
Central,Nakasongola,Lwabiyata,620,8341,2251,12094,620,7210,
Central,Nakasongola,Lwampanga,1232,14338,4439,22454,1083,12433,
Central,Nakasongola,Migeera Town Council,229,2414,588,4352,109,2137,
Central,Nakasongola,Nabisweera,734,8166,3197,11879,811,6946,
Central,Nakasongola,Nakasongola Town Council,406,3963,693,7427,133,3715,
Central,Nakasongola,Nakitoma,605,6857,2171,10074,642,5876,
Central,Nakasongola,Wabinyonyi,781,9618,2712,14096,608,8552,
Central,Nakasongola,Nakasongola Total,7846,92079,26537,137850,6809,80566,
Central,Rakai,Kakuuto,2140,19117,3820,31834,939,17842,
Central,Rakai,Kasasa,945,8399,1529,14106,270,8070,
Central,Rakai,Kibanda,1021,13030,2037,20518,405,11746,
Central,Rakai,Kifamba,751,7554,1529,11819,278,7077,
Central,Rakai,Kyebe,1103,9368,1719,17118,296,8810,
Central,Rakai,Byakabanda,975,9966,1684,15676,340,9231,
Central,Rakai,Ddwaniro,1636,17604,3036,27123,645,16264,
Central,Rakai,Kacheera,943,12905,2112,19769,337,11569,
Central,Rakai,Kagamba,1521,18465,3009,28188,605,16957,
Central,Rakai,Kiziba,823,11131,1554,17252,411,9932,
Central,Rakai,Kyalulangira,1081,15003,2379,23145,564,13372,
Central,Rakai,Lwamaggwa,2068,23615,3611,36910,722,21663,
Central,Rakai,Lwanda,1236,14790,2292,23999,428,13763,
Central,Rakai,Rakai Town Council,357,3453,390,5975,72,3234,
Central,Rakai,Kabira,1710,15595,2347,25891,435,14862,
Central,Rakai,Kalisizo,1027,9035,1734,15003,194,8834,
Central,Rakai,Kalisizo Town Council,606,6044,718,11470,136,5644,
Central,Rakai,Kasaali,1486,12887,2443,21944,444,12353,
Central,Rakai,Kirumba,1392,12606,2207,20960,386,12209,
Central,Rakai,Kyotera Town Council,464,5492,608,10677,120,4799,
Central,Rakai,Lwankoni,836,7481,1347,12517,268,7168,
Central,Rakai,Nabigasa,1195,10734,2243,17079,456,10235,
Central,Rakai,Rakai Total,25316,264274,44348,428973,8751,245634,
Central,Ssembabule,Lwemiyaga,1569,18767,4000,29600,871,16715,
Central,Ssembabule,Ntuusi,994,11677,2589,19627,382,10543,
Central,Ssembabule,Lugusulu,1395,15078,3076,25625,566,13773,
Central,Ssembabule,Lwebitakuli,2897,33168,7451,49516,2043,29545,
Central,Ssembabule,Mateete,2770,27826,5794,42507,1036,26064,
Central,Ssembabule,Mateete Town Council,424,4953,779,8385,158,4401,
Central,Ssembabule,Mijwala,1514,15537,3268,24302,566,14350,
Central,Ssembabule,Sembabule Town Council,312,2997,1057,4933,328,2523,
Central,Ssembabule,Ssembabule Total,11875,130003,28014,204495,5950,117914,
Central,Wakiso,Bussi,678,6578,995,13343,149,5929,
Central,Wakiso,Kakiri,1823,18792,3742,32089,589,17574,
Central,Wakiso,Kakiri Town Council,979,8101,1587,14898,288,7564,
Central,Wakiso,Kasanje,1395,13893,2640,23973,380,13063,
Central,Wakiso,Katabi,3735,42988,6515,88840,1289,38337,
Central,Wakiso,Masuliita,591,5317,1113,8957,253,5070,
Central,Wakiso,Masulita Town Council,749,7147,1534,11931,291,6744,
Central,Wakiso,Mende,1189,12782,3123,21246,778,11650,
Central,Wakiso,Namayumba,934,8415,1870,14290,320,8004,
Central,Wakiso,Namayumba Town Council,732,7272,1319,12640,253,6783,
Central,Wakiso,Nsangi,6550,87609,11461,167022,2369,77758,
Central,Wakiso,Ssisa,3466,39380,7724,76587,1429,35225,
Central,Wakiso,Wakiso,5554,81898,8334,151245,1929,72176,
Central,Wakiso,Wakiso Town Council,2257,27196,3275,51638,781,24527,
Central,Wakiso,Nangabo,4735,62995,7760,122198,1499,56765,
Central,Wakiso,Division A,1490,15702,3303,32406,656,14264,
Central,Wakiso,Division B,1194,12237,2171,25776,403,11125,
Central,Wakiso,Bweyogerere Division,3264,42990,5517,93331,1169,38219,
Central,Wakiso,Kira Division,1817,24237,3681,52136,590,21676,
Central,Wakiso,Namugongo Division,4446,56622,6943,132255,1294,50657,
Central,Wakiso,Bunamwaya Division,2383,29882,4572,62617,935,26517,
Central,Wakiso,Masajja Division,3765,51292,6676,100949,1396,44960,
Central,Wakiso,Ndejje Division,2796,39994,5036,79662,1051,35554,
Central,Wakiso,Busukuma Division,1616,17941,4088,30979,667,16510,
Central,Wakiso,Gombe Division,2867,36432,5367,65155,798,33424,
Central,Wakiso,Nabweru Division,2951,47191,4918,90609,1075,41697,
Central,Wakiso,Nansana Division,4542,62896,5293,127700,1309,55938,
Central,Wakiso,Wakiso Total,68499,867814,120558,1704532,23940,777738,
Eastern,Amuria,Abarilela,1122,13551,3793,18519,1312,11405,
Eastern,Amuria,Acowa,672,7988,4517,8486,2014,5422,
Eastern,Amuria,Akeriau,304,3337,907,5586,250,2934,
Eastern,Amuria,Akoromit,777,8074,2555,11003,794,6947,
Eastern,Amuria,Amuria Town Council,905,11620,3484,16485,1044,10065,
Eastern,Amuria,Apeduru,757,10120,2791,13900,753,8786,
Eastern,Amuria,Asamuk,833,9655,2674,13057,825,8214,
Eastern,Amuria,Kapelebyong,539,7574,3365,9240,1386,5779,
Eastern,Amuria,Kuju,683,8085,2059,11625,590,7130,
Eastern,Amuria,Morungatuny,1170,12881,3494,18752,931,11302,
Eastern,Amuria,Obalanga,665,7544,2683,9600,955,6091,
Eastern,Amuria,Ogolai,1114,9856,4400,12511,1708,7714,
Eastern,Amuria,Okungur,960,9875,2772,13797,920,8479,
Eastern,Amuria,Orungo,948,10590,2789,14726,819,9124,
Eastern,Amuria,Wera,867,9908,4097,12270,1526,7744,
Eastern,Amuria,Willa,638,7832,1589,11045,492,6807,
Eastern,Amuria,Amuria Total,12954,148490,47969,200602,16319,123943,
Eastern,Budaka,Budaka,318,6390,324,9816,58,5717,
Eastern,Budaka,Budaka Town Council,784,12625,1836,19889,396,11278,
Eastern,Budaka,Kachomo,452,8239,2545,10737,782,6725,
Eastern,Budaka,Kaderuna,422,9964,1965,13621,383,8582,
Eastern,Budaka,Kakule,378,7174,1460,10009,430,6139,
Eastern,Budaka,Lyama,479,10981,2790,14723,918,8868,
Eastern,Budaka,Naboa,441,7598,1158,11563,251,6703,
Eastern,Budaka,Nansanga,251,5655,690,8175,108,5020,
Eastern,Budaka,Iki-Iki,599,10492,2435,14682,629,9008,
Eastern,Budaka,Kameruka,290,8665,951,12714,227,7490,
Eastern,Budaka,Kamonkoli,898,13398,2590,20021,604,11880,
Eastern,Budaka,Katiira,610,9163,640,14296,179,8336,
Eastern,Budaka,Mugiti,371,6399,1674,9043,423,5587,
Eastern,Budaka,Budaka Total,6293,116743,21058,169289,5388,101333,
Eastern,Bududa,Bubiita,285,3581,572,5950,100,3306,
Eastern,Bududa,Bududa Town Council,340,3220,318,5919,57,3148,
Eastern,Bududa,Bududa,339,5741,1881,8226,476,4915,
Eastern,Bududa,Bukalasi,505,7001,3306,8604,1204,5346,
Eastern,Bududa,Bukibokolo,374,5559,1840,7638,694,4684,
Eastern,Bududa,Bukigai,939,9096,2407,14507,508,8699,
Eastern,Bududa,Bulucheke,893,8159,1827,12419,440,7782,
Eastern,Bududa,Bumasheti,739,8928,2116,12847,587,8147,
Eastern,Bududa,Bumayoka,1215,10701,3643,14350,1383,9277,
Eastern,Bududa,Bushika,1223,17089,3164,25987,802,15869,
Eastern,Bududa,Bushiribo,555,5999,525,9712,97,5759,
Eastern,Bududa,Bushiyi,596,8603,939,13496,208,7965,
Eastern,Bududa,Buwali,292,3283,1940,4012,730,2431,
Eastern,Bududa,Nabweya,489,5198,1204,8475,253,4870,
Eastern,Bududa,Nakatsi,593,5699,542,9673,146,5503,
Eastern,Bududa,Nalwanza,478,4864,1589,6668,495,4239,
Eastern,Bududa,Bududa Total,9855,112721,27813,168483,8180,101940,
Eastern,Bugiri,Budhaya,777,16907,3052,23132,736,14666,
Eastern,Bugiri,Bugiri  Town Council,1031,13988,2396,23777,504,12536,
Eastern,Bugiri,Bulesa,1418,22104,5616,30835,1512,18815,
Eastern,Bugiri,Bulidha,777,14081,2967,19417,788,12208,
Eastern,Bugiri,Buluguyi,1152,17967,3809,24963,937,15571,
Eastern,Bugiri,Buwunga,1563,26486,6506,36387,1619,22859,
Eastern,Bugiri,Iwemba,654,11266,1804,15914,387,9954,
Eastern,Bugiri,Kapyanga,2266,32726,6915,47233,1713,28906,
Eastern,Bugiri,Muterere,916,16137,3828,21782,1081,13689,
Eastern,Bugiri,Nabukalu,1121,21187,4445,29232,1185,18174,
Eastern,Bugiri,Nankoma,1310,23738,6578,31233,2010,19760,
Eastern,Bugiri,Bugiri Total,12985,216587,47916,303905,12472,187138,
Eastern,Bukedea,Bukedea,1303,16615,1806,26178,481,14984,
Eastern,Bukedea,Bukedea Town Council,402,5096,1422,8264,414,4378,
Eastern,Bukedea,Kachumbala,1916,30168,4479,46605,1088,26873,
Eastern,Bukedea,Kidongole,935,15980,3343,22580,1029,13625,
Eastern,Bukedea,Kolir,1200,18109,2713,27438,767,16015,
