,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Eastern,Bukedea,Malera,1630,25606,5905,36008,1466,21824,
Eastern,Bukedea,Bukedea Total,7386,111574,19668,167073,5245,97699,
Eastern,Bukwo,Bukwo,247,4560,740,6810,191,3929,
Eastern,Bukwo,Bukwo Town council,228,3934,491,6436,132,3545,
Eastern,Bukwo,Chepkwasta,235,4902,605,7028,146,4219,
Eastern,Bukwo,Chesower,211,3639,576,5479,108,3244,
Eastern,Bukwo,Kabei,155,3492,671,5079,214,2938,
Eastern,Bukwo,Kamet,99,2931,365,4296,84,2490,
Eastern,Bukwo,Kaptererwo,348,4790,922,7123,277,4173,
Eastern,Bukwo,Kortek,159,3353,579,4652,184,2841,
Eastern,Bukwo,Riwo,216,4208,1767,5207,716,3047,
Eastern,Bukwo,Senendet,257,4898,920,7197,247,4254,
Eastern,Bukwo,Suam,379,5574,915,9023,222,5002,
Eastern,Bukwo,Tulel,120,2843,484,4301,112,2458,
Eastern,Bukwo,Bukwo Total,2654,49124,9035,72631,2633,42140,
Eastern,Bulambuli,Buginyanya,305,2675,1054,4178,233,2485,
Eastern,Bulambuli,Bukhalu,964,16156,3674,22227,1031,14122,
Eastern,Bulambuli,Bulaago,385,4611,1619,7342,438,4106,
Eastern,Bulambuli,Bulambuli Town Council,103,1586,484,2519,133,1351,
Eastern,Bulambuli,Bulegeni,343,2471,1948,2843,790,1742,
Eastern,Bulambuli,Simu,403,2461,927,4137,287,2351,
Eastern,Bulambuli,Buluganya,1121,7151,1372,10958,277,7381,
Eastern,Bulambuli,Bumasobo,227,4193,535,7014,78,3846,
Eastern,Bulambuli,Bumugibole,225,3222,1279,4892,318,2821,
Eastern,Bulambuli,Bunambutye,326,4137,1740,5940,436,3390,
Eastern,Bulambuli,Bwikhonge,294,4095,1197,5826,330,3419,
Eastern,Bulambuli,Nabbongo,331,5114,1721,7099,433,4250,
Eastern,Bulambuli,Muyembe,376,3626,1517,5605,328,3221,
Eastern,Bulambuli,Lusha,324,3846,2002,6392,446,3305,
Eastern,Bulambuli,Masiira,421,4626,1934,7032,509,4031,
Eastern,Bulambuli,Kamu,322,3170,1106,4881,236,2907,
Eastern,Bulambuli,Namisuni,390,4118,3760,4586,1605,2577,
Eastern,Bulambuli,Sisiyi,1059,5962,1328,10699,345,6000,
Eastern,Bulambuli,Bulegeni Town Council,576,5997,1111,9012,351,5728,
Eastern,Bulambuli,Bulambuli Total,8495,89217,30308,133182,8604,79033,
Eastern,Busia,Eastern Division,1548,15252,1978,27304,485,13988,
Eastern,Busia,Western Division,893,10976,1925,18950,455,9770,
Eastern,Busia,Buhehe,968,10452,2580,15901,627,9382,
Eastern,Busia,Bulumbi,637,8183,1027,13236,270,7544,
Eastern,Busia,Busime,938,10102,2479,14673,603,9031,
Eastern,Busia,Busitema,718,9273,1807,13895,421,8308,
Eastern,Busia,Buteba,1042,15033,2887,22608,806,13246,
Eastern,Busia,Buyanga,708,10436,1826,15043,378,9280,
Eastern,Busia,Dabani,1272,14759,2175,23488,563,13456,
Eastern,Busia,Lumino,733,7555,2127,11486,457,6841,
Eastern,Busia,Lunyo,690,7942,1470,12388,436,7091,
Eastern,Busia,Majanji,527,5840,1841,8151,477,5076,
Eastern,Busia,Masaba,1121,12505,3009,18675,735,11206,
Eastern,Busia,Masafu,938,10908,1604,16826,364,9929,
Eastern,Busia,Masinya,788,10763,1836,16526,361,9712,
Eastern,Busia,Sikuda,713,10280,1640,15459,328,9171,
Eastern,Busia,Busia Total,14234,170259,32211,264609,7766,153031,
Eastern,Butaleja,Budumba,614,13403,3421,17653,1102,11010,
Eastern,Butaleja,Busaba,660,14235,4160,18375,1455,11337,
Eastern,Butaleja,Busabi,550,10481,1999,14610,537,8955,
Eastern,Butaleja,Busolwe,471,8507,2325,11302,681,7111,
Eastern,Butaleja,Busolwe Town Council,432,7305,1703,10797,375,6372,
Eastern,Butaleja,Butaleja,427,9029,3984,10450,1451,6652,
Eastern,Butaleja,Butaleja Town Council,616,10895,1420,16555,272,9712,
Eastern,Butaleja,Himutu,339,8372,7406,6093,3425,4066,
Eastern,Butaleja,Kachonga,584,15230,2223,20760,565,12939,
Eastern,Butaleja,Mazimasa,858,18640,3680,26437,976,15854,
Eastern,Butaleja,Nawanjofu,541,11359,4012,13813,1325,8820,
Eastern,Butaleja,Naweyo,697,12408,2290,17509,626,10571,
Eastern,Butaleja,Butaleja Total,6789,139864,38623,184354,12790,113399,
Eastern,Buyende,Bugaya,2583,49343,10861,65688,2877,41864,
Eastern,Buyende,Buyende,1495,25245,4490,34756,1020,21775,
Eastern,Buyende,Buyende Town Council,610,13508,3111,18043,733,11475,
Eastern,Buyende,Kagulu,2459,44798,13586,56011,4642,35719,
Eastern,Buyende,Kidera,2434,37400,8987,50758,2463,31648,
Eastern,Buyende,Nkondo,1086,17516,4361,23090,1314,14544,
Eastern,Buyende,Buyende Total,10667,187810,45396,248346,13049,157025,
Eastern,Iganga,Central Division,994,13390,2488,25193,438,12002,
Eastern,Iganga,Northern Division,721,11301,2048,20709,545,9858,
Eastern,Iganga,Busembatia Town Council,405,6108,1449,9689,305,5492,
Eastern,Iganga,Buyanga,1467,28199,7383,39248,1411,24726,
Eastern,Iganga,Ibulanku,980,19677,4459,27493,782,17446,
Eastern,Iganga,Igombe,503,9580,1968,13829,332,8513,
Eastern,Iganga,Makuutu,625,15694,2422,23391,502,13787,
Eastern,Iganga,Namalemba,660,12734,3268,18196,729,11219,
Eastern,Iganga,Bulamogi,959,14492,2012,24842,318,13425,
Eastern,Iganga,Nabitende,731,15803,3084,23238,584,14050,
Eastern,Iganga,Nakalama,1434,24793,4923,38065,1129,21907,
Eastern,Iganga,Nakigo,1187,21567,4456,31843,1134,18919,
Eastern,Iganga,Nambale,1463,26071,6831,36458,1364,23022,
Eastern,Iganga,Namungalwe,1067,20310,4373,30319,720,18192,
Eastern,Iganga,Nawandala,928,17759,5635,23508,1595,15049,
Eastern,Iganga,Nawanyingi,774,14304,3068,20836,700,12685,
Eastern,Iganga,Iganga Total,14898,271782,59867,406857,12588,240292,
Eastern,Jinja,Central Division,656,6620,1555,15601,221,6230,
Eastern,Jinja,Mpumudde Division,851,8622,1655,18606,309,7969,
Eastern,Jinja,BugembeTown Council,1380,17774,3075,34590,637,15699,
Eastern,Jinja,Busedde,1256,19916,5029,29014,989,17731,
Eastern,Jinja,KakiraTown Council,1175,13968,3196,27382,587,12805,
Eastern,Jinja,Mafubira,2855,36945,8136,64252,1497,33300,
Eastern,Jinja,Masese Walukuba,1156,13042,2341,26452,509,11795,
Eastern,Jinja,Budondo,1907,26770,6774,40333,1310,24138,
Eastern,Jinja,Butagaya,1927,30445,5952,43492,1100,27429,
Eastern,Jinja,Buwenge,1665,24956,6697,36593,1777,21928,
Eastern,Jinja,BuwengeTown Council,809,10773,2410,17556,502,9461,
Eastern,Jinja,Buyengo,1103,17981,2706,27518,581,16310,
Eastern,Jinja,Jinja Total,16740,227812,49526,381389,10019,204795,
Eastern,Kaberamaido,Alwa,1173,12408,4423,16961,1286,10502,
Eastern,Kaberamaido,Aperkira,625,8097,3082,10103,985,6624,
Eastern,Kaberamaido,Kaberamaido,967,9437,3206,13190,857,8269,
Eastern,Kaberamaido,KaberamaidoTown Council,216,1622,388,3139,76,1518,
Eastern,Kaberamaido,Kobulubulu,917,10478,2632,15734,716,9455,
Eastern,Kaberamaido,Ochero,1122,14273,3871,20251,1036,12401,
Eastern,Kaberamaido,Anyara,1052,11862,3536,16723,1052,10188,
Eastern,Kaberamaido,Apapai,495,6153,1020,9328,268,5506,
Eastern,Kaberamaido,Bululu,991,12162,3687,15922,1151,10227,
Eastern,Kaberamaido,Kakure,534,7145,2306,9140,658,5875,
Eastern,Kaberamaido,Kalaki,738,8983,2635,12576,866,7614,
Eastern,Kaberamaido,Otuboi,1088,13555,4738,19468,1552,11622,
Eastern,Kaberamaido,Kaberamaido Total,9918,116175,35524,162535,10503,99801,
Eastern,Kaliro,Bumanya,1395,28877,5912,40610,1523,25108,
Eastern,Kaliro,Gadumire,850,20250,4216,27467,1108,17134,
Eastern,Kaliro,Kaliro Town Council,460,7976,1436,13652,344,7123,
Eastern,Kaliro,Namugongo,936,19285,4272,27868,851,17014,
Eastern,Kaliro,Namwiwa,973,20973,4579,28651,980,18244,
Eastern,Kaliro,Nawaikoke,1632,36923,8803,49318,2145,31295,
Eastern,Kaliro,Kaliro Total,6246,134284,29218,187566,6951,115918,
Eastern,Kamuli,Northern Division,987,14511,2850,24661,607,12921,
Eastern,Kamuli,Southern Division,968,14699,2535,23838,591,13257,
Eastern,Kamuli,Balawoli,1714,31323,6747,42720,1481,27024,
Eastern,Kamuli,Bulopa,1241,15383,3028,23128,642,14086,
Eastern,Kamuli,Butansi,1044,16903,3734,23711,841,15078,
Eastern,Kamuli,Kitayunjwa,1432,22023,5199,31783,1003,19748,
Eastern,Kamuli,Nabwigulu,704,12315,2096,18234,508,10972,
Eastern,Kamuli,Namasagali,1127,21565,4505,29736,1080,18686,
Eastern,Kamuli,Namwendwa,1879,32116,6749,46333,1551,28198,
Eastern,Kamuli,Bugulumbya,1129,20391,4062,29668,827,18418,
Eastern,Kamuli,Kisozi,1653,27031,5871,38264,1203,24181,
Eastern,Kamuli,Mbulamuti,1135,16530,3790,23679,912,14856,
Eastern,Kamuli,Nawanyago,970,12558,3196,19102,670,11471,
Eastern,Kamuli,Wankole,679,11179,2464,16071,489,10025,
Eastern,Kamuli,Kamuli Total,16662,268527,56826,390928,12405,238921,
Eastern,Kapchorwa,Central Division,374,5416,729,10373,141,4758,
Eastern,Kapchorwa,Eastern Division,371,5738,1150,9351,244,5149,
Eastern,Kapchorwa,Western Division,597,9866,2139,16312,421,8977,
Eastern,Kapchorwa,Amukol,107,1901,544,3034,82,1729,
Eastern,Kapchorwa,Chema,289,4460,1446,6630,334,3934,
Eastern,Kapchorwa,Chepterech,332,1983,2736,1152,1448,678,
Eastern,Kapchorwa,Gamogo,130,1799,1285,1895,470,1264,
Eastern,Kapchorwa,Kabeywa,160,2640,1176,3774,302,2228,
Eastern,Kapchorwa,Kapsinda,157,3909,834,6159,156,3481,
Eastern,Kapchorwa,Kaptanya,220,3893,636,6183,171,3529,
Eastern,Kapchorwa,Kaserem,151,2499,484,3885,90,2248,
Eastern,Kapchorwa,Kawowo,196,3732,1988,4453,864,2595,
Eastern,Kapchorwa,Munarya,195,2646,672,4512,144,2386,
Eastern,Kapchorwa,Sipi,223,2191,675,3683,124,1988,
Eastern,Kapchorwa,Kapchorwa Total,3502,52673,16494,81396,4991,44944,
Eastern,Katakwi,Kapujan,563,6846,1911,10345,505,6172,
Eastern,Katakwi,Magoro,1184,9281,3812,13363,1161,7956,
Eastern,Katakwi,Omodoi,862,8698,2774,12937,817,7617,
Eastern,Katakwi,Toroma,608,5673,3178,7793,1177,4394,
Eastern,Katakwi,Katakwi,2000,18626,5851,27991,1635,16726,
Eastern,Katakwi,Katakwi Town Council,405,3283,971,5920,261,2999,
Eastern,Katakwi,Ngariam,798,5298,1273,9000,430,5005,
Eastern,Katakwi,Ongongoja,918,8766,3600,11434,1334,6997,
Eastern,Katakwi,Palam,809,6007,1997,9170,465,5448,
Eastern,Katakwi,Usuk,1362,10764,4113,15564,1193,9451,
Eastern,Katakwi,Katakwi Total,9509,83242,29480,123517,8978,72765,
Eastern,Kibuku,Bulangira,594,13459,594,13459,672,11530,
Eastern,Kibuku,Buseta,394,9867,394,9867,282,8501,
Eastern,Kibuku,Kabweri,371,8988,371,8988,380,7677,
Eastern,Kibuku,Kadama,565,11235,565,11235,591,9631,
Eastern,Kibuku,Kagumu,657,16124,657,16124,1012,13428,
Eastern,Kibuku,Kasasira,573,13325,573,13325,975,10974,
Eastern,Kibuku,Kibuku,324,7257,324,7257,562,6014,
Eastern,Kibuku,Kibuku Town Council,231,4711,231,4711,206,4037,
Eastern,Kibuku,Kirika,656,13813,656,13813,254,12261,
Eastern,Kibuku,Tirinyi,932,17829,932,17829,1394,14939,
Eastern,Kibuku,Kibuku Total,5297,116608,5297,116608,6328,98992,
Eastern,Kumi,Northern Division,809,8675,14922,1741,8085,372,
Eastern,Kumi,Southern Division,843,8931,14799,2290,8167,482,
Eastern,Kumi,Atutur,820,11365,17068,2807,9948,698,
Eastern,Kumi,Kanyum,1503,23109,34319,4432,20390,1255,
Eastern,Kumi,Kumi,719,9259,14341,2052,8356,481,
Eastern,Kumi,Mukongoro,1542,26213,38458,4503,22989,1088,
Eastern,Kumi,Nyero,1316,18058,27308,3083,16248,781,
Eastern,Kumi,Ongino,1805,22227,34024,4900,20046,1067,
Eastern,Kumi,Kumi Total,9357,127837,195239,25808,114229,6224,
Eastern,Kween,Benet,330,6121,808,9521,203,5518,
Eastern,Kween,Binyiny,139,2740,447,4251,111,2430,
Eastern,Kween,Binyiny Town Council,87,1688,86,2991,13,1592,
Eastern,Kween,Kaproron,137,2656,365,4344,76,2412,
Eastern,Kween,Kaptoyoy,159,4289,679,7145,140,3918,
Eastern,Kween,Kaptum,277,5122,507,8178,88,4596,
Eastern,Kween,Kiriki,79,2271,458,4107,61,1991,
Eastern,Kween,Kitawoi,260,4273,429,6597,136,3924,
Eastern,Kween,Kwanyiy,305,5669,962,8384,257,5009,
Eastern,Kween,Kwosir,376,6951,544,10418,111,6279,
Eastern,Kween,Moyok,157,3016,685,4612,198,2586,
Eastern,Kween,Ngenge,268,5273,1027,9201,167,4704,
Eastern,Kween,Kween Total,2574,50069,6997,79749,1561,44959,
Eastern,Luuka,Bukanga,1427,23469,4135,34595,951,21089,
Eastern,Luuka,Bukooma,1157,22275,3876,32528,715,19998,
Eastern,Luuka,Bulongo,1019,16092,2808,23429,501,14600,
Eastern,Luuka,Ikumbya,1022,20003,2585,28975,508,17799,
Eastern,Luuka,Irongo,979,14801,3212,21307,681,13292,
Eastern,Luuka,Luuka Town Council,336,5280,652,8547,144,4754,
Eastern,Luuka,Nawampiti,785,11883,2470,17349,570,10604,
Eastern,Luuka,Waibuga,1146,20507,3549,30569,1027,18147,
Eastern,Luuka,Luuka Total,7871,134310,23287,197299,5097,120283,
Eastern,Manafwa,Bubutu,765,13037,2203,19338,573,11549,
Eastern,Manafwa,Bugobero,425,7363,1663,10738,473,6337,
Eastern,Manafwa,Bukhabusi,273,5382,2095,7144,561,4481,
Eastern,Manafwa,Bukhaweka,269,4899,1356,7122,317,4221,
Eastern,Manafwa,Bukhofu,232,4098,1688,5157,587,3221,
Eastern,Manafwa,Bukiabi,533,6093,2764,7667,985,4820,
Eastern,Manafwa,Bukokho,591,11215,2245,15610,615,9548,
Eastern,Manafwa,Bukusu,426,6857,3022,8569,1024,5272,
Eastern,Manafwa,Bumbo,418,9389,2340,13096,706,7997,
Eastern,Manafwa,Bumwoni,546,10580,2605,15202,776,8986,
Eastern,Manafwa,Bunabwana,410,6471,2408,8654,790,5290,
Eastern,Manafwa,Bupoto,337,7472,2830,9914,734,6204,
Eastern,Manafwa,Busukuya,433,7026,1963,9950,643,5870,
Eastern,Manafwa,Butiru,649,9512,3692,12644,1209,7641,
Eastern,Manafwa,Butta,126,2188,723,3065,124,1900,
Eastern,Manafwa,Buwabwala,154,3744,1496,5007,382,3110,
Eastern,Manafwa,Buwagogo,164,3821,1584,4919,403,3094,
Eastern,Manafwa,Kaato,353,4673,1773,6893,499,3967,
Eastern,Manafwa,Khabutoola,477,7963,2174,11830,493,7000,
Eastern,Manafwa,Lwakhakha Town Council,365,4867,1430,7023,334,4224,
Eastern,Manafwa,Magale,634,11070,11283,7602,5715,4505,
Eastern,Manafwa,Manafwa Town Council,506,6501,2441,9967,636,5500,
Eastern,Manafwa,Mukoto,210,4387,1232,6213,275,3745,
Eastern,Manafwa,Nalondo,208,3042,997,4448,271,2589,
Eastern,Manafwa,Namabya,313,5768,2405,7311,721,4615,
Eastern,Manafwa,Namboko,313,5937,3597,5851,1755,3706,
Eastern,Manafwa,Sibanga,194,3964,1641,5295,517,3151,
Eastern,Manafwa,Sisuni,133,2164,793,2902,284,1720,
Eastern,Manafwa,Tsekululu,404,8900,6211,8981,2616,5477,
Eastern,Manafwa,Weswa,182,4132,3068,3960,1348,2428,
Eastern,Manafwa,Manafwa Total,11043,192515,75722,252072,26366,152168,
Eastern,Mayuge,Baitambogwe,1400,19410,3733,31702,722,17726,
Eastern,Mayuge,Bukabooli,1329,25379,2831,37109,616,22827,
Eastern,Mayuge,Bukatube,1421,21737,3260,33705,755,19526,
Eastern,Mayuge,Busakira,1062,16562,2395,24637,494,15068,
Eastern,Mayuge,Buwaaya,851,11825,2018,17725,466,10681,
Eastern,Mayuge,Imanyiro,1727,16373,2106,26818,410,15663,
Eastern,Mayuge,Jaguzi,454,6030,1283,10955,251,5269,
Eastern,Mayuge,Kigandalo,1011,18362,2557,26405,527,16336,
Eastern,Mayuge,Kityerera,1640,25805,3689,38584,799,23128,
Eastern,Mayuge,Malongo,3307,57201,7056,86306,1723,50335,
Eastern,Mayuge,Mayuge Town Council,536,8877,906,15060,199,8043,
Eastern,Mayuge,Mpungwe,910,14510,1599,21859,273,13124,
Eastern,Mayuge,Wairasa,1497,17328,2437,28791,444,15890,
Eastern,Mayuge,Mayuge Total,17145,259399,35870,399656,7679,233616,
Eastern,Mbale,Industrial Divison,1613,16044,2684,33227,666,14769,
Eastern,Mbale,Northern Division,1401,14385,2365,30483,649,13154,
Eastern,Mbale,Wanale Division,524,6389,1095,12380,241,5807,
Eastern,Mbale,Bubyangu,638,11451,1694,17963,373,10338,
Eastern,Mbale,Budwale,247,4207,858,6295,259,3679,
Eastern,Mbale,Bufumbo,734,10804,1394,17230,497,9910,
Eastern,Mbale,Bukasakya,957,14511,1864,25894,452,13166,
Eastern,Mbale,Bukiende,832,11085,2749,17674,750,9796,
Eastern,Mbale,Bukonde,693,9878,1442,16397,264,9083,
Eastern,Mbale,Bumasikye,687,6020,1175,10275,345,5555,
Eastern,Mbale,Bumbobi,526,8374,1624,13718,300,7601,
Eastern,Mbale,Bungokho,960,14518,2156,24382,393,13118,
Eastern,Mbale,Bungokho Mutoto,1087,16645,3573,28434,724,14839,
Eastern,Mbale,Busano,527,7936,1543,12329,399,7117,
Eastern,Mbale,Busiu,653,12733,2695,19943,539,11430,
Eastern,Mbale,Busoba,610,10687,2322,17135,583,9553,
Eastern,Mbale,Lukhonge,290,5204,1396,7612,292,4595,
Eastern,Mbale,Lwasso,227,4797,1192,7140,277,4117,
Eastern,Mbale,Nakaloke,711,12142,1856,19183,416,10876,
Eastern,Mbale,Nakaloke Town Council,1137,14042,2602,23111,549,12603,
Eastern,Mbale,Namanyonyi,1139,15330,2856,25828,507,14042,
Eastern,Mbale,Nyondo,450,5756,583,10537,124,5459,
Eastern,Mbale,Wanale,592,7032,1136,11260,357,6364,
Eastern,Mbale,Mbale Total,17235,239970,42854,408430,9956,216971,
Eastern,Namayingo,Banda,1900,24116,7064,33067,2027,20877,
Eastern,Namayingo,Bukana,337,4452,1748,5887,485,3653,
Eastern,Namayingo,Buhemba,1027,15803,2952,22289,727,13861,
Eastern,Namayingo,Buswale,917,14923,2611,22089,505,13319,
Eastern,Namayingo,Buyinja,767,13035,2745,17833,750,11238,
Eastern,Namayingo,Lolwe,360,4721,1274,9741,246,3973,
Eastern,Namayingo,Mutumba,1600,24384,7288,31520,2476,20032,
Eastern,Namayingo,Namayingo Town Council,598,8419,1968,12403,497,7402,
Eastern,Namayingo,Sigulu Island,802,7427,2925,11338,708,6301,
Eastern,Namayingo,Namayingo Total,8308,117280,30575,166167,8421,100656,
Eastern,Namutumba,Bulange,1222,25850,4585,36262,1103,22208,
Eastern,Namutumba,Ivukula,1072,26042,6663,34719,1803,21906,
Eastern,Namutumba,Kibaale,1110,18713,3594,26861,827,16639,
Eastern,Namutumba,Magada,1417,28194,6949,37560,1879,23819,
Eastern,Namutumba,Namutumba,1192,21417,4135,30368,1013,18674,
Eastern,Namutumba,Namutumba Town Council,448,9984,1619,15560,430,8679,
Eastern,Namutumba,Nsinze,762,14263,2883,20637,505,12768,
Eastern,Namutumba,Namutumba Total,7223,144463,30428,201967,7560,124693,
Eastern,Ngora,Kapir,1364,"16,749",4330,24601,1154,14702,
Eastern,Ngora,Kobwin,1038,"18,957",4991,25727,1633,15805,
Eastern,Ngora,Mukura,1338,"17,491",4940,26448,1250,15482,
Eastern,Ngora,Ngora,1050,"15,619",3036,23455,707,13886,
Eastern,Ngora,Ngora Town Council,556,6934,1282,11749,280,6299,
Eastern,Ngora,Ngora Total,5346,75750,18579,111980,5024,66174,
Eastern,Pallisa,Butebo,710,16905,1712,25249,394,14903,
Eastern,Pallisa,Kabwangasi,752,16207,2551,23645,484,14161,
Eastern,Pallisa,Kakoro,514,9827,2533,13425,883,8135,
Eastern,Pallisa,Kanginima,282,5385,816,8041,151,4793,
Eastern,Pallisa,Kibale,449,9439,2256,12826,605,7978,
Eastern,Pallisa,Opwateta,523,9617,1779,13574,420,8279,
Eastern,Pallisa,Petete,596,15716,2838,21534,626,13590,
Eastern,Pallisa,Kamuge,541,12439,3263,16439,899,10454,
Eastern,Pallisa,Kasodo,446,8141,1328,11877,328,7185,
Eastern,Pallisa,Olok,427,9641,1528,13518,513,8328,
Eastern,Pallisa,Pallisa,396,8938,1206,12967,229,7897,
Eastern,Pallisa,Pallisa Town Council,1057,17486,2714,27233,618,15624,
Eastern,Pallisa,Puti-Puti,609,14203,4290,17968,1442,11351,
Eastern,Pallisa,Agule,529,10007,2930,13641,1071,8088,
Eastern,Pallisa,Akisim,409,7229,2121,9955,687,5977,
Eastern,Pallisa,Apopong,807,15296,3694,20381,1128,12840,
Eastern,Pallisa,Chelekura,359,6711,1089,9812,309,5958,
Eastern,Pallisa,Gogonyo,883,17066,4950,22827,1528,14173,
Eastern,Pallisa,Kameke,607,"9,73",1999,13892,444,8571,
Eastern,Pallisa,Pallisa Total,10896,220026,45597,308804,12759,188285,
Eastern,Serere,Bugondo,1336,20076,3992,28901,1078,17843,
Eastern,Serere,Kadungulu,1247,18993,3785,25954,1091,16213,
Eastern,Serere,Kasilo Town Council,125,1824,409,2797,77,1584,
Eastern,Serere,Labori,708,10845,2563,15503,609,9461,
Eastern,Serere,Pingire,1081,19159,5585,25740,1700,15782,
Eastern,Serere,Atiira,754,10822,2987,16191,848,9597,
Eastern,Serere,Kateta,1667,30600,6594,43682,1904,26697,
Eastern,Serere,Kyere,1623,26894,6144,38552,1658,23817,
Eastern,Serere,Olio,1169,15196,4939,21242,1408,12900,
Eastern,Serere,SerereTown Council,303,3539,613,6779,113,3305,
Eastern,Serere,Serere Total,10013,157948,37611,225341,10486,137199,
Eastern,Sironko,Budadiri Town Council,536,8045,2157,13873,260,7508,
Eastern,Sironko,Bugitimwa,238,4346,1576,6350,372,3655,
Eastern,Sironko,Buhugu,294,3680,1837,5145,426,3101,
Eastern,Sironko,Bukhulo,696,9930,5426,11329,2669,6616,
Eastern,Sironko,Bukiise,768,10413,4393,14843,1112,8769,
Eastern,Sironko,Bukiyi,449,6558,2117,9969,375,5803,
Eastern,Sironko,Bukyabo,316,3831,1988,4701,516,3151,
Eastern,Sironko,Bukyambi,121,1765,763,2578,95,1613,
Eastern,Sironko,Bumalimba,654,8291,3393,12198,740,7190,
Eastern,Sironko,Bumasifwa,386,5147,1898,7783,320,4580,
Eastern,Sironko,Bunyafa,410,6249,1980,8900,305,5518,
Eastern,Sironko,Busulani,271,3780,1679,5401,335,3232,
Eastern,Sironko,Butandiga,208,3082,1057,4561,214,2746,
Eastern,Sironko,Buteza,382,6028,2895,7559,799,4840,
Eastern,Sironko,Buwalasi,480,6607,2772,10022,449,5756,
Eastern,Sironko,Buwasa,324,4283,1880,6350,383,3721,
Eastern,Sironko,Buyobo,466,6850,2844,9759,529,5873,
Eastern,Sironko,Masaba,309,5337,2325,7142,647,4306,
Eastern,Sironko,Nalusala,250,4729,1280,7483,186,4175,
Eastern,Sironko,Sironko Town Council,656,8528,2937,12755,791,7226,
Eastern,Sironko,Zesui,291,5701,2757,7309,682,4601,
Eastern,Sironko,Sironko Total,8505,123180,49954,176010,12205,103980,
Eastern,Soroti,Northern Division,784,7046,1681,14463,343,6472,
Eastern,Soroti,Eastern Division,735,7500,2024,15003,407,6713,
Eastern,Soroti,Western Division,412,4506,929,9666,168,4125,
Eastern,Soroti,Tubur,869,12486,3074,17081,936,10610,
Eastern,Soroti,Kamuda,1645,20366,6443,27838,2062,17266,
Eastern,Soroti,Asuret,1435,21221,5286,30745,1474,18348,
Eastern,Soroti,Katine,1423,19743,4909,27071,1412,16840,
Eastern,Soroti,Soroti,1083,11684,2355,20463,596,10631,
Eastern,Soroti,Arapai,1608,21097,4152,32953,1056,19183,
Eastern,Soroti,Gweri,1829,26048,7617,36616,2312,22007,
Eastern,Soroti,Soroti Total,11823,151697,38470,231899,10766,132195,
Eastern,Tororo,Kwapa,866,10456,2603,16205,699,9271,
Eastern,Tororo,Malaba Town Council,765,7919,1697,14310,359,7150,
Eastern,Tororo,Mella,756,10142,2954,15022,799,8823,
Eastern,Tororo,Merikit,1013,13794,3608,20045,1054,11764,
Eastern,Tororo,Molo,781,9948,3663,13779,1170,8312,
Eastern,Tororo,Mukuju,1466,20351,4971,30379,1328,17753,
Eastern,Tororo,Osukuru,1867,22953,5896,35834,1462,20140,
Eastern,Tororo,Iyolwa,808,11422,2844,15750,762,9798,
Eastern,Tororo,Kirewa,1214,15430,3606,22233,1247,13179,
Eastern,Tororo,Kisoko,743,9760,1919,15663,510,8736,
Eastern,Tororo,Magola,756,9562,3047,13447,760,8262,
Eastern,Tororo,Mulanda,1643,21047,7526,28171,2092,17593,
Eastern,Tororo,Nabuyoga,1252,17286,4017,24384,1156,14952,
Eastern,Tororo,Nagongera,1124,13768,2881,20681,773,12260,
Eastern,Tororo,Nagongera Town Council,515,6426,1460,9743,375,5655,
Eastern,Tororo,Paya,994,16300,3960,23171,1090,13851,
Eastern,Tororo,Petta,739,8338,2203,12375,689,7198,
Eastern,Tororo,Rubongi,1559,18811,4934,29180,1256,16701,
Eastern,Tororo,Sop-Sop,491,8022,2338,10834,637,6676,
Eastern,Tororo,Eastern Division,826,8255,1759,15304,332,7597,
Eastern,Tororo,Western Division,909,9966,2372,18420,478,9060,
Eastern,Tororo,Tororo Total,21087,269956,70258,404930,19028,234731,
