Region,District,Sub-county,Male,Female,Total,Sex Ratio*,Land Area (Sq. Km),Population Density**
Western,Buhweju,Bihanga,"6,543","6,746","13,289",49.2,98,136
Western,Buhweju,Bitsya,"7,664","8,216","15,880",48.3,64.6,246
Western,Buhweju,Burere,"9,473","9,748","19,221",49.3,185.8,103
Western,Buhweju,Engaju,"9,269","9,712","18,981",48.8,175.8,108
Western,Buhweju,Karungu,"7,366","8,072","15,438",47.7,50,309
Western,Buhweju,Nsiika Town Council,"1,450","1,506","2,956",49.1,15,197
Western,Buhweju,Nyakishana,9024,8966,17990,50.2,82.5,218
Western,Buhweju,Rwengwe,8270,8695,16965,48.7,79.1,214
Western,Buhweju,Buhweju Total,59059,61661,120720,48.9,750.8,161
Western,Buliisa,Biiso,8066,8312,16378,97,290.7,56.3
Western,Buliisa,Buliisa,8461,8677,17138,97.5,375.4,45.7
Western,Buliisa,Buliisa Town Council,3703,3535,7238,104.8,33.3,217.4
Western,Buliisa,Butiaba,16366,12545,28911,130.5,182.7,158.2
Western,Buliisa,Kigwera,6871,6757,13628,101.7,50.4,270.4
Western,Buliisa,Kihungya,5915,6481,12396,91.3,64.8,191.3
Western,Buliisa,Ngwedo,8419,9053,17472,93,113.5,153.9
Western,Buliisa,Buliisa Total,57801,55360,113161,104.4,1110.8,101.9
Western,Bundibugyo,Bubandi,10438,11201,21639,93.2,23.6,917
Western,Bundibugyo,Bubukwanga,11093,12014,23107,92.3,112.5,205
Western,Bundibugyo,Bukonzo,5224,5463,10687,95.6,32.8,326
Western,Bundibugyo,Bundibugyo Town Council,9153,9799,18952,93.4,10,1895
Western,Bundibugyo,Busaru,7212,7628,14840,94.5,27.4,542
Western,Bundibugyo,Harugale,6206,6394,12600,97.1,76,166
Western,Bundibugyo,Kasitu,10436,10771,21207,96.9,180.5,117
Western,Bundibugyo,Kirumya,5425,5741,11166,94.5,22.6,494
Western,Bundibugyo,Kisubba,8094,8782,16876,92.2,50.6,334
Western,Bundibugyo,Mirambi,6245,6914,13159,90.3,20.1,655
Western,Bundibugyo,Nduguto,5660,5746,11406,98.5,62.7,182
Western,Bundibugyo,Ngamba,5161,5343,10504,96.6,35,300
Western,Bundibugyo,Ntotoro,4920,5579,10499,88.2,26.7,393
Western,Bundibugyo,Nyahuka Town Council,7890,8806,16696,89.6,13.2,1265
Western,Bundibugyo,Sindila,5278,5771,11049,91.5,156.2,71
Western,Bundibugyo,Bundibugyo Total,108435,115952,224387,93.5,849.9,264
Western,Bushenyi,Central Divison,8429,8184,16613,103,35.7,465.4
Western,Bushenyi,Ishaka Divison,7900,8539,16439,92.5,20.1,817.9
Western,Bushenyi,Nyakabirizi Division,3961,4204,8165,94.2,34.4,237.4
Western,Bushenyi,Bitooma,6680,6731,13411,99.2,44.5,301.4
Western,Bushenyi,Bumbaire,6802,7419,14221,91.7,47.4,300
Western,Bushenyi,Ibaare,5439,6145,11584,88.5,30.3,382.3
Western,Bushenyi,Kakanju,11092,11752,22844,94.4,56.8,402.2
Western,Bushenyi,Kyabugimbi,9245,10030,19275,92.2,56.6,340.5
Western,Bushenyi,Kyamuhunga,17687,18142,35829,97.5,290.3,123.4
Western,Bushenyi,Kyeizooba,12944,13696,26640,94.5,86,309.8
Western,Bushenyi,Nyabubare,17378,18533,35911,93.8,91.4,392.9
Western,Bushenyi,Ruhumuro,6650,6861,13511,96.9,51.8,260.8
Western,Bushenyi,Bushenyi Total,114207,120236,234443,95,845.3,277.3
Western,Hoima,Bugambe,15320,14725,30045,104,213.6,289
Western,Hoima,Buhanika,7412,6760,14172,109.6,105.9,129
Western,Hoima,Buhimba,19935,19372,39307,102.9,276.4,382
Western,Hoima,Buseruka,21772,20733,42505,105,398.2,405
Western,Hoima,Kabwoya,34385,32445,66830,106,798.4,631
Western,Hoima,Kigorobya,33324,33797,67121,98.6,316.2,681
Western,Hoima,Kigorobya Town Council,2734,3111,5845,87.9,9.2,67
Western,Hoima,Kitoba,17513,17297,34810,101.2,198.5,344
Western,Hoima,Kiziranfumbi,17769,17415,35184,102,223.3,345
Western,Hoima,Kyabigambire,21129,19850,40979,106.4,313,385
Western,Hoima,Kyangwali,48981,47108,96089,104,586.4,924
Western,Hoima,Bujumbura Division,10632,11567,22199,91.9,56.9,242
Western,Hoima,Busiisi Division,9548,9739,19287,98,82.7,197
Western,Hoima,Mparo Divison,11299,11856,23155,95.3,74.3,243
Western,Hoima,Kahoora Divison,16153,19305,35458,83.7,13.4,424
Western,Hoima,Hoima Total,287906,285080,572986,101,3666.4,5674
Western,Ibanda,Bisheshe,11966,12593,24559,95,118.2,208
Western,Ibanda,Ibanda Town Council,15601,17151,32752,91,53.6,611
Western,Ibanda,Igorora Town Council,2751,3129,5880,87.9,14.1,417
Western,Ibanda,Ishongororo,7145,7553,14698,94.6,61.8,238
Western,Ibanda,Ishongororo Town Council,10919,11339,22258,96.3,68.5,325
Western,Ibanda,Kashangura,8426,8902,17328,94.7,59.2,293
Western,Ibanda,Keihangara,5483,6025,11508,91,44.7,257
Western,Ibanda,Kicuzi,7961,8549,16510,93.1,104,159
Western,Ibanda,Kijongo,5077,5622,10699,90.3,34.3,312
Western,Ibanda,Kikyenkye,7107,7812,14919,91,46.8,319
Western,Ibanda,Nsasi,4037,4132,8169,97.7,34,240
Western,Ibanda,Nyabuhikye,9354,9538,18892,98.1,91,208
Western,Ibanda,Nyamarebe,11988,11250,23238,106.6,126.5,184
Western,Ibanda,Rukiri,11787,12511,24298,94.2,97.6,249
Western,Ibanda,Rushango Town Council,1838,2079,3917,88.4,16.7,235
Western,Ibanda,Ibanda Total,121440,128185,249625,94.7,971,257
Western,Isingiro,Birere,10314,10915,21229,94.5,,
Western,Isingiro,Endiinzi,11928,12123,24051,98.4,,
Western,Isingiro,Isingiro Town Council,13613,14378,27991,94.7,,
Western,Isingiro,Kaberebere Town Council,3354,3389,6743,99,,
Western,Isingiro,Kabingo,10582,11263,21845,94,,
Western,Isingiro,Kabuyanda,10036,11157,21193,90,,
Western,Isingiro,Kabuyanda Town Council,7811,8565,16376,91.2,,
Western,Isingiro,Kashumba,11071,11070,22141,100,,
Western,Isingiro,Kikagate,23807,26724,50531,89.1,,
Western,Isingiro,Masha,12938,13135,26073,98.5,,
Western,Isingiro,Mbaare,16420,17038,33458,96.4,,
Western,Isingiro,Nakivale Refugee Camp,27276,28594,55870,95.4,,
Western,Isingiro,Ngarama,16911,17847,34758,94.8,,
Western,Isingiro,Nyakitunda,19504,22050,41554,88.5,,
Western,Isingiro,Nyamuyanja,7459,8254,15713,90.4,,
Western,Isingiro,Oruchinga Refugee Camp,1499,1691,3190,88.6,,
Western,Isingiro,Ruborogota,8628,8935,17563,96.6,,
Western,Isingiro,Rugaaga,16045,16970,33015,94.5,,
Western,Isingiro,Rushasha,6425,6641,13066,96.7,,
Western,Isingiro,Isingiro Total,235621,250739,486360,94,,
Western,Kabale,Central Division,7662,8228,15890,93.1,8.4,1892
Western,Kabale,Northern Division,6037,6449,12486,93.6,8.9,1403
Western,Kabale,Southern Division,10359,10451,20810,99.1,15.8,1317
Western,Kabale,Bubaare,15908,17912,33820,88.8,77.9,434
Western,Kabale,Bufundi,11685,13906,25591,84,80.7,317
Western,Kabale,Buhara,12101,13598,25699,89,83.7,307
Western,Kabale,Bukinda,4898,4960,9858,98.8,59.9,165
Western,Kabale,Butanda,8349,9782,18131,85.4,50.1,362
Western,Kabale,Hamurwa,12637,14348,26985,88.1,91.2,296
Western,Kabale,Hamurwa Town Council,2403,2697,5100,89.1,15.9,321
Western,Kabale,Ikumba,14307,16998,31305,84.2,129.6,242
Western,Kabale,Kaharo,9400,10000,19400,94,65,298
Western,Kabale,Kamuganguzi,9675,11015,20690,87.8,73.5,281
Western,Kabale,Kamwezi,12652,13886,26538,91.1,130.4,204
Western,Kabale,Kashambya,12112,13946,26058,86.8,126.1,207
Western,Kabale,Katuna Town Council,4892,5176,10068,94.5,8.2,1228
Western,Kabale,Kitumba,9127,9805,18932,93.1,45.9,412
Western,Kabale,Kyanamira,9457,10474,19931,90.3,58.5,341
Western,Kabale,Maziba,10193,10879,21072,93.7,95.2,221
Western,Kabale,Muhanga Town Council,5896,5862,11758,100.6,26.1,450
Western,Kabale,Muko,22194,24342,46536,91.2,143,325
Western,Kabale,Nyamweru,8155,9205,17360,88.6,60.4,287
Western,Kabale,Rubaya,12791,14709,27500,87,80.5,342
Western,Kabale,Ruhija,4722,5477,10199,86.2,61.5,166
Western,Kabale,Rwamucucu,12637,13877,26514,91.1,83.8,316
Western,Kabale,Kabale Total,250249,277982,528231,90,1680.2,314
Western,Kabarole,Eastern Division,9057,9467,18524,95.7,16.8,1103
Western,Kabarole,Southern Division,7831,8796,16627,89,10.6,1569
Western,Kabarole,Western Division,9541,9094,18635,104.9,13,1433
Western,Kabarole,Buheesi,17831,18291,36122,97.5,116.4,310
Western,Kabarole,Bukuuku,5470,5556,11026,98.5,35.9,307
Western,Kabarole,Busoro,13230,12754,25984,103.7,111.8,232
Western,Kabarole,Hakibaale,18547,17828,36375,104,135.9,268
Western,Kabarole,Kabonero,9623,9731,19354,98.9,109.8,176
Western,Kabarole,Karago Town Council,4874,4869,9743,100.1,24.2,403
Western,Kabarole,Karambi,12789,13195,25984,96.9,43.5,597
Western,Kabarole,Karangura,6181,6159,12340,100.4,26.4,467
Western,Kabarole,Kasenda,11691,12399,24090,94.3,181.7,133
Western,Kabarole,Katebwa,10249,10609,20858,96.6,67.7,308
Western,Kabarole,Kibiito,9288,9509,18797,97.7,41.2,456
Western,Kabarole,Kibiito Town Council,6177,6611,12788,93.4,23.5,544
Western,Kabarole,Kicwamba,17723,17388,35111,101.9,113.8,308
Western,Kabarole,Kijura Town Council,5674,5058,10732,112.2,261.6,41
Western,Kabarole,Kiko Town Council,6093,5928,12021,102.8,49.5,243
Western,Kabarole,Kisomoro,11478,12012,23490,95.6,37.1,633
Western,Kabarole,Mugusu,11890,11812,23702,100.7,38.4,617
Western,Kabarole,Rubona Town Council,2752,2850,5602,96.6,19.4,289
Western,Kabarole,Ruteete,9024,9071,18095,99.5,161,112
Western,Kabarole,Rwimi,8381,8639,17020,97,130.9,130
Western,Kabarole,Rwimi Town Council,8254,7962,16216,103.7,40.1,404
Western,Kabarole,Kabarole Total,233648,235588,469236,99.2,1810.2,259
Western,Kamwenge,Biguli,17000,17231,34231,98.7,167.9,204
Western,Kamwenge,Bihanga,6967,7341,14308,94.9,157.5,91
Western,Kamwenge,Buhanda,11586,12415,24001,93.3,101.9,236
Western,Kamwenge,Busiriba,13489,14555,28044,92.7,319.2,88
Western,Kamwenge,Bwizi,14044,14720,28764,95.4,127.9,225
Western,Kamwenge,Kabambiro,7327,8157,15484,89.8,65.2,237
Western,Kamwenge,Kahunge,17590,18810,36400,93.5,243.1,150
Western,Kamwenge,Kamwenge,10604,11406,22010,93,231.9,95
Western,Kamwenge,Kamwenge Town Council,9578,9708,19286,98.7,68.1,283
Western,Kamwenge,Kanara,6613,7058,13671,93.7,171.6,80
Western,Kamwenge,Kicheche,12875,13463,26338,95.6,85.4,308
Western,Kamwenge,Mahyoro,14567,14540,29107,100.2,101,288
Western,Kamwenge,Nkoma,16113,15841,31954,101.7,314.2,102
Western,Kamwenge,Ntara,13773,14943,28716,92.2,101.4,283
Western,Kamwenge,Nyabbani,10552,11401,21953,92.6,89.6,245
Western,Kamwenge,Rwamwanja Refugee Camp,19825,20362,40187,97.4,-,-
Western,Kamwenge,Kamwenge Total,202503,211951,414454,95.5,2346,177
Western,Kanungu,Butogota Town Council,5005,5310,10315,94.3,3.2,3223.4
Western,Kanungu,Inyanga,3553,3870,7423,91.8,26.2,283.3
Western,Kanungu,Kambuga,10520,11468,21988,91.7,72.4,303.7
Western,Kanungu,Kambuga Town Council,2813,3012,5825,93.4,4,1456.3
Western,Kanungu,Kanungu Town Council,7214,7842,15056,92,45.4,331.6
Western,Kanungu,Kanyantorogo,9158,9791,18949,93.5,69.2,273.8
Western,Kanungu,Katete,3466,3810,7276,91,33.6,216.5
Western,Kanungu,Kayonza,13476,14112,27588,95.5,119.1,231.6
Western,Kanungu,Kihihi,8874,9093,17967,97.6,260.8,68.9
Western,Kanungu,Kihiihi Town Council,9490,10322,19812,91.9,49.1,403.5
Western,Kanungu,Kinaaba,3901,4577,8478,85.2,37.3,227.3
Western,Kanungu,Kirima,8481,9174,17655,92.4,79.5,222.1
Western,Kanungu,Mpungu,5446,6500,11946,83.8,210.1,56.9
Western,Kanungu,Nyakinoni,4301,4442,8743,96.8,36.3,240.9
Western,Kanungu,Nyamirama,9107,9707,18814,93.8,73.9,254.6
Western,Kanungu,Rugyeyo,9902,10829,20731,91.4,66.3,312.7
Western,Kanungu,Rutenga,6374,7204,"13,578",88.5,88.7,153.1
Western,Kanungu,Kanungu Total,121081,131063,252144,92.4,1275.1,197.7
Western,Kasese,Bulembia Division,6543,6708,13251,97.5,62.4,212
Western,Kasese,Central Division,14980,16731,31711,89.5,25.9,1224
Western,Kasese,Nyamwamba Division,26908,29195,56103,92.2,65.8,853
Western,Kasese,Bugoye,17191,18340,35531,93.7,205.1,173
Western,Kasese,Buhuhira,9020,9270,18290,97.3,37.4,489
Western,Kasese,Bwera,8289,9220,17509,89.9,13.3,1316
Western,Kasese,Bwesumbu,10381,10754,21135,96.5,97.5,217
Western,Kasese,Hima Town Council,6540,6595,13135,99.2,29.3,448
Western,Kasese,Ihandiro,6448,6813,13261,94.6,48.2,275
Western,Kasese,Isango,3960,4269,8229,92.8,13.5,610
Western,Kasese,Karambi,12371,13421,25792,92.2,20.1,1283
Western,Kasese,Karusandara,6046,5911,11957,102.3,154.6,77
Western,Kasese,Katwe Kabatoro Town Council,3272,3131,6403,104.5,13.2,485
Western,Kasese,Kilembe,6512,6790,13302,95.9,78.4,170
Western,Kasese,Kisinga,19559,20956,40515,93.3,97.8,414
Western,Kasese,Kitholhu,8161,8710,16871,93.7,54,312
Western,Kasese,Kitswamba,15027,14680,29707,102.4,161.9,183
Western,Kasese,Kyabarungira,8019,8341,16360,96.1,24.3,673
Western,Kasese,Kyarumba,20407,21667,42074,94.2,155.8,270
Western,Kasese,Kyondo,11698,12267,23965,95.4,152.6,157
Western,Kasese,Lake Katwe,9989,9647,19636,103.5,565.5,35
Western,Kasese,Mahango,9507,10368,19875,91.7,31.7,627
Western,Kasese,Maliba,23167,23485,46652,98.6,215.4,217
Western,Kasese,Mpondwe-Lhubiriha,24444,26907,51351,90.8,20.1,2555
Western,Kasese,Muhokya,9478,9744,19222,97.3,317.3,61
Western,Kasese,Munkunyu,16080,17561,33641,91.6,42.4,793
Western,Kasese,Nyakatonzi,2588,2409,4997,107.4,104.8,48
Western,Kasese,Nyakiyumbu,14752,15761,30513,93.6,103.5,295
Western,Kasese,Rukoki,6878,7121,13999,96.6,37.4,374
Western,Kasese,Kasese Total,338215,356772,694987,94.8,2949.2,236
Western,Kibaale,Birembo,13552,13902,27454,97.5,103,267
Western,Kibaale,Bubango,9208,8945,18153,102.9,191.5,95
Western,Kibaale,Burora,6353,6762,13115,94,56.2,233
Western,Kibaale,Bwamiramira,9143,9037,18180,101.2,162.8,112
Western,Kibaale,Bwanswa,8491,8113,16604,104.7,151.3,110
Western,Kibaale,Bwikara,20528,21105,41633,97.3,160.9,259
Western,Kibaale,Kabamba,8430,8754,17184,96.3,97.9,176
Western,Kibaale,Kagadi,6504,6571,13075,99,65.1,201
Western,Kibaale,Kagadi  Town Council,10886,12008,22894,90.7,48,477
Western,Kibaale,Kakindo,29517,29491,59008,100.1,294.2,201
Western,Kibaale,Kakumiro  Town Council,4774,5060,9834,94.3,53.2,185
Western,Kibaale,Kasambya,15925,15507,31432,102.7,212.4,148
Western,Kibaale,Kibaale Town Council,3226,3424,6650,94.2,23.1,288
Western,Kibaale,Kiryanga,12170,12134,24304,100.3,151.3,161
Western,Kibaale,Kisiita,29189,29318,58507,99.6,134.2,436
Western,Kibaale,Kyakabadiima,4498,5000,9498,90,30.8,308
Western,Kibaale,Kyanaisoke,7602,7719,15321,98.5,67.4,227
Western,Kibaale,Kyaterekera,11872,12410,24282,95.7,88.4,275
Western,Kibaale,Kyebando,11847,11528,23375,102.8,193.3,121
Western,Kibaale,Kyenzige,7801,8362,16163,93.3,63.4,255
Western,Kibaale,Mabaale,12458,13045,25503,95.5,98,260
Western,Kibaale,Matale,8890,8955,17845,99.3,153.5,116
Western,Kibaale,Mpasaana,11544,11477,23021,100.6,123.6,186
Western,Kibaale,Mpeefu,18927,19923,38850,95,143.4,271
Western,Kibaale,Mugarama,6001,5877,11878,102.1,90.6,131
Western,Kibaale,Muhorro,7061,7448,14509,94.8,70.8,205
Western,Kibaale,Muhorro  Town Council,10826,11566,22392,93.6,53.5,419
Western,Kibaale,Nalweyo,16448,16124,32572,102,330.7,99
Western,Kibaale,Ndaiga,4498,4162,8660,108.1,37.9,229
Western,Kibaale,Nkooko,17717,16959,34676,104.5,266.8,130
Western,Kibaale,Nyamarunda,12369,12487,24856,99.1,174.1,143
Western,Kibaale,Nyamarwa,10131,9879,20010,102.6,-,-
Western,Kibaale,Paacwa,7911,8170,16081,96.8,81.3,198
Western,Kibaale,Rugashari,7698,8047,15745,95.7,61.2,257
Western,Kibaale,Ruteete,5789,6035,11824,95.9,44.9,263
Western,Kibaale,Kibaale Total,389784,395304,785088,98.6,4078.7,193
Western,Kiruhura,Buremba,10468,10535,21003,99.4,188.8,111
Western,Kiruhura,Burunga,12471,11498,23969,108.5,328.1,73
Western,Kiruhura,Engari,12160,12846,25006,94.7,173.3,144
Western,Kiruhura,Kanoni,8121,8697,16818,93.4,81.1,207
Western,Kiruhura,Kanyaryeru,3856,3629,7485,106.3,103,73
Western,Kiruhura,Kashongi,12409,12623,25032,98.3,259.2,97
Western,Kiruhura,Kazo,14168,14656,28824,96.7,241.8,119
Western,Kiruhura,Kazo Town Council,6499,6445,12944,100.8,105.9,122
Western,Kiruhura,Kenshunga,13481,11896,25377,113.3,388,65
Western,Kiruhura,Kikaatsi,10032,8890,18922,112.9,521.3,36
Western,Kiruhura,Kinoni,10747,9906,20653,108.5,386.4,53
Western,Kiruhura,Kiruhura Town Council,2920,2669,5589,109.4,126.8,44
Western,Kiruhura,Kitura,7475,8129,15604,92,82.4,189
Western,Kiruhura,Nkungu,12264,12727,24991,96.4,161.4,155
Western,Kiruhura,Nyakashashara,8948,7307,16255,122.5,593.8,27
Western,Kiruhura,Rwemikoma,11900,11599,23499,102.6,277.4,85
Western,Kiruhura,Sanga,3637,3392,7029,107.2,457.5,15
Western,Kiruhura,Sanga Town Council,4658,4419,9077,105.4,84.2,108
Western,Kiruhura,Kiruhura Total,166214,161863,328077,102.7,4560.4,72
Western,Kiryandongo,Bweyale Town Council,15038,16135,31173,93.2,44.3,704
Western,Kiryandongo,Kigumba,22197,21743,43940,102.1,292.1,150
Western,Kiryandongo,Kigumba Town Council,8850,9775,18625,90.5,27.2,685
Western,Kiryandongo,Kiryandongo,40621,39736,80357,102.2,2263.4,36
Western,Kiryandongo,Kiryandongo Refugee Camp,6796,7273,14069,93.4,48.5,290
Western,Kiryandongo,Kiryandongo Town Council,2956,3016,5972,98,14.8,404
Western,Kiryandongo,Masindi Port,4646,4229,8875,109.9,263.5,34
Western,Kiryandongo,Mutunda,31718,31468,63186,100.8,628.2,101
Western,Kiryandongo,Kiryandongo Total,132822,133375,266197,99.6,3582,74
Western,Kisoro,Central Division,2302,2614,4916,88.1,,
Western,Kisoro,Northern Division,2526,2816,5342,89.7,,
Western,Kisoro,Southern Division,2637,2964,5601,89,,
Western,Kisoro,Bukimbiri,7262,8115,15377,89.5,,
Western,Kisoro,Busanza,7644,10220,17864,74.8,,
Western,Kisoro,Chahi,8371,10438,18809,80.2,,
Western,Kisoro,Kanaba,7411,8701,16112,85.2,,
Western,Kisoro,Kirundo,9081,10968,20049,82.8,,
Western,Kisoro,Muramba,15450,20858,36308,74.1,,
Western,Kisoro,Murora,8484,10725,19209,79.1,,
Western,Kisoro,Nyabwishenya,7050,8136,15186,86.7,,
Western,Kisoro,Nyakabande,11421,13458,24879,84.9,,
Western,Kisoro,Nyakinama,8507,11169,19676,76.2,,
Western,Kisoro,Nyarubuye,8470,10439,18909,81.1,,
Western,Kisoro,Nyarusiza,13324,16984,30308,78.5,,
Western,Kisoro,Nyundo,6115,7045,13160,86.8,,
Western,Kisoro,Kisoro Total,126055,155650,281705,81,,
Western,Kyegegwa,Hapuuyo,22548,22663,45211,99.5,278.3,162
Western,Kyegegwa,Kabweza Kyegegwa,12582,12637,25219,99.6,129.9,194
Western,Kyegegwa,Kakabara,24345,24157,48502,100.8,309.4,157
Western,Kyegegwa,Kasule,11871,11965,23836,99.2,128.8,185
Western,Kyegegwa,Kyaka  Ii  Refugee Camp,8490,8948,17438,94.9,58.9,296
Western,Kyegegwa,Kyegegwa Town Council,9325,9438,18763,98.8,97.6,192
Western,Kyegegwa,Mpara,19030,19080,38110,99.7,175.9,217
Western,Kyegegwa,Ruyonza,14591,13589,28180,107.4,298,95
Western,Kyegegwa,Rwentuha,17835,18543,36378,96.2,270.8,134
Western,Kyegegwa,Kyegegwa Total,140617,141020,281637,99.7,1747.6,161
Western,Kyenjojo,Bufunjo,24779,25261,50040,98.1,311.6,161
Western,Kyenjojo,Bugaaki,16168,15381,31549,105.1,190.6,166
Western,Kyenjojo,Butiiti,9421,9434,18855,99.9,84.1,224
Western,Kyenjojo,Butunduzi,6128,6460,12588,94.9,57,221
Western,Kyenjojo,Butunduzi Town Council,6895,7216,14111,95.6,61.8,228
Western,Kyenjojo,Katooke,17408,17869,35277,97.4,206.9,171
Western,Kyenjojo,Katooke Town Council,7298,7296,14594,100,53.6,272
Western,Kyenjojo,Kigaraale,11886,12078,23964,98.4,143.2,167
Western,Kyenjojo,Kihuura,14615,14514,29129,100.7,143.1,204
Western,Kyenjojo,Kisojo,11114,10951,22065,101.5,230.6,96
Western,Kyenjojo,Kyarusozi,28596,29066,57662,98.4,303.7,190
Western,Kyenjojo,Kyarusozi  Town Council,6945,6202,13147,112,69.7,189
Western,Kyenjojo,Kyenjojo Town Council,11324,11636,22960,97.3,55.4,414
Western,Kyenjojo,Nyabuharwa,12470,12260,24730,101.7,118.2,209
Western,Kyenjojo,Nyankwanzi,13287,14033,27320,94.7,117.2,233
Western,Kyenjojo,Nyantungo,12265,11948,24213,102.7,205.5,118
Western,Kyenjojo,Kyenjojo Total,210599,211605,422204,99.5,2352.2,179
Western,Masindi,Central Division,19566,21260,40826,92,28.5,1433
Western,Masindi,Karujubu Division,14972,12852,27824,116.5,85.3,326
Western,Masindi,Kigulya Division,6398,6349,12747,100.8,54.8,233
Western,Masindi,Nyangahya Division,6668,6373,13041,104.6,68,192
Western,Masindi,Budongo,26327,25608,51935,102.8,1351.4,38
Western,Masindi,Bwijanga,26646,25438,52084,104.7,499,104
Western,Masindi,Kimengo,7671,6337,14008,121.1,818.1,17
Western,Masindi,Miirya,10679,9567,20246,111.6,327.1,62
Western,Masindi,Pakanyi,29194,29208,58402,100,695.2,84
Western,Masindi,Masindi Total,148121,142992,291113,103.6,3927.4,74.1
Western,Mbarara,Biharwe Division,10809,11098,21907,97.4,112.3,195
Western,Mbarara,Kakiika Division,10385,11292,21677,92,127.2,170
Western,Mbarara,Kakoba Division,27578,27962,55540,98.6,11.9,4667
Western,Mbarara,Kamukuzi Division,16974,17914,34888,94.8,16.1,2167
Western,Mbarara,Nyakayojo Division,18852,19333,38185,97.5,155.4,246
Western,Mbarara,Nyamitanga Division,11081,12044,23125,92,19.3,1198
Western,Mbarara,Bubaare,10941,11517,22458,95,196.2,114
Western,Mbarara,Bugamba,16985,17749,34734,95.7,158.2,220
Western,Mbarara,Bukiro,6981,7578,14559,92.1,63.3,230
Western,Mbarara,Kagongi,9897,10815,20712,91.5,77.8,266
Western,Mbarara,Kashare,10949,11962,22911,91.5,105.4,217
Western,Mbarara,Mwizi,16771,17831,34602,94.1,103.3,335
Western,Mbarara,Ndeija,15277,16214,31491,94.2,157.8,200
Western,Mbarara,Rubaya,9146,9099,18245,100.5,152.1,120
Western,Mbarara,Rubindi,11349,12509,23858,90.7,75,318
Western,Mbarara,Rugando,13189,13708,26897,96.2,122.6,219
Western,Mbarara,Rwanyamahembe,12918,13922,26840,92.8,131.7,204
Western,Mbarara,Mbarara Total,230082,242547,472629,94.9,1785.6,265
Western,Mitooma,Bitereko,13200,14676,27876,89.9,70.1,398
Western,Mitooma,Kabira,5031,6009,11040,83.7,29.8,370
Western,Mitooma,Kanyabwanga,8731,9631,18362,90.7,59,311
Western,Mitooma,Kashenshero,5660,6431,12091,88,35.7,339
Western,Mitooma,Kashenshero Town Council,2707,3049,5756,88.8,11.5,501
Western,Mitooma,Katenga,8124,9449,17573,86,53.4,329
Western,Mitooma,Kiyanga,9751,10365,20116,94.1,58.8,342
Western,Mitooma,Mayanga,5317,5913,11230,89.9,37.6,299
Western,Mitooma,Mitooma,8694,9802,18496,88.7,52.9,350
Western,Mitooma,Mitooma Town Council,2696,2944,5640,91.6,13.3,424
Western,Mitooma,Mutara,10875,12238,23113,88.9,90.7,255
Western,Mitooma,Rurehe,5698,6453,12151,88.3,31.1,391
Western,Mitooma,Mitooma Total,86484,96960,183444,89.2,543.9,337
Western,Ntoroko,Butungama,5155,4833,9988,106.7,232,43
Western,Ntoroko,Bweramule,3136,3126,6262,100.3,132.7,47
